msp_module,port,name
ericom_access_now_bof.rb,8080,Ericom AccessNow Server Buffer Overflow
ezserver_http.rb,8000,EZHomeTech EzServer Stack Buffer Overflow Vulnerability
geutebrueck_gcore_x64_rce_bo.rb,13003,Geutebrueck GCore - GCoreServer.exe Buffer Overflow RCE
hp_autopass_license_traversal.rb,5814,HP AutoPass License Server File Upload
hp_imc_bims_upload.rb,8080,HP Intelligent Management Center BIMS UploadServlet Directory Traversal
hp_imc_mibfileupload.rb,8080,HP Intelligent Management Center Arbitrary File Upload
hp_loadrunner_copyfiletoserver.rb,8080,HP LoadRunner EmulationAdmin Web Service Directory Traversal
hp_nnm_openview5.rb,80,HP OpenView Network Node Manager OpenView5.exe CGI Buffer Overflow
hp_nnm_ovas.rb,7510,"HP OpenView NNM 7.53, 7.51 OVAS.EXE Pre-Authentication Stack Buffer Overflow"
hp_pcm_snac_update_certificates.rb,443,HP ProCurve Manager SNAC UpdateCertificatesServlet File Upload
hp_pcm_snac_update_domain.rb,443,HP ProCurve Manager SNAC UpdateDomainControllerServlet File Upload
hp_sitescope_dns_tool.rb,8080,HP SiteScope DNS Tool Command Injection
hp_sitescope_runomagentcommand.rb,8080,HP SiteScope Remote Code Execution
ibm_tivoli_endpoint_bof.rb,9495,IBM Tivoli Endpoint Manager POST Query Buffer Overflow
ibm_tpmfosd_overflow.rb,443,IBM TPM for OS Deployment 5.1.0.x rembo.exe Buffer Overflow
ibm_tsm_cad_header.rb,1581,IBM Tivoli Storage Manager Express CAD Service Buffer Overflow
icecast_header.rb,8000,Icecast Header Overwrite
integard_password_bof.rb,18881,Race River Integard Home/Pro LoginAdmin Password Stack Buffer Overflow
intersystems_cache.rb,57772,InterSystems Cache UtilConfigHome.csp Argument Buffer Overflow
jira_collector_traversal.rb,8080,JIRA Issues Collector Directory Traversal
lexmark_markvision_gfd_upload.rb,9788,Lexmark MarkVision Enterprise Arbitrary File Upload
manageengine_apps_mngr.rb,9090,ManageEngine Applications Manager Authenticated Code Execution
manageengine_connectionid_write.rb,8020,"""ManageEngine Desktop Central 9 FileUploadServlet ConnectionId Vulnerability"","
maxdb_webdbm_database.rb,9999,MaxDB WebDBM Database Parameter Overflow
maxdb_webdbm_get_overflow.rb,9999,MaxDB WebDBM GET Buffer Overflow
mcafee_epolicy_source.rb,81,McAfee ePolicy Orchestrator / ProtectionPilot Overflow
mdaemon_worldclient_form2raw.rb,3000,MDaemon WorldClient form2raw.cgi Stack Buffer Overflow
miniweb_upload_wbem.rb,8000,"""MiniWeb (Build 300) Arbitrary File Upload"","
navicopa_get_overflow.rb,80,NaviCOPA 2.0.1 URL Handling Buffer Overflow
netgear_nms_rce.rb,8080,NETGEAR ProSafe Network Management System 300 Arbitrary File Upload
novell_imanager_upload.rb,8080,Novell iManager getMultiPartParameters Arbitrary File Upload
novell_messenger_acceptlang.rb,8300,Novell Messenger Server 2.0 Accept-Language Overflow
nowsms.rb,8800,Now SMS/MMS Gateway Buffer Overflow
oracle_btm_writetofile.rb,7001,Oracle Business Transaction Management FlashTunnelService Remote Code Execution
oracle_endeca_exec.rb,7770,Oracle Endeca Server Remote Command Execution
oracle_event_processing_upload.rb,9002,Oracle Event Processing FileUploadServlet Arbitrary File Upload
oracle9i_xdb_pass.rb,8080,Oracle 9i XDB HTTP PASS Overflow (win32)
osb_uname_jlist.rb,443,Oracle Secure Backup Authentication Bypass/Command Injection Vulnerability
peercast_url.rb,7144,PeerCast URL Handling Buffer Overflow
psoproxy91_overflow.rb,8080,PSO Proxy v0.91 Stack Buffer Overflow
sambar6_search_results.rb,80,Sambar 6 Search Results Buffer Overflow
sap_configservlet_exec_noauth.rb,50000,SAP ConfigServlet Remote Code Execution
sap_host_control_cmd_exec.rb,1128,SAP NetWeaver HostControl Command Injection
sapdb_webtools.rb,9999,SAP DB 7.4 WebTools Buffer Overflow
sepm_auth_bypass_rce.rb,8443,Symantec Endpoint Protection Manager Authentication Bypass and Code Execution
serviio_checkstreamurl_cmd_exec.rb,23423,Serviio Media Server checkStreamUrl Command Execution
servu_session_cookie.rb,80,Rhinosoft Serv-U Session Cookie Buffer Overflow
shoutcast_format.rb,8000,SHOUTcast DNAS/win32 1.9.4 File Request Format String Overflow
shttpd_post.rb,80,SHTTPD URI-Encoded POST Request Overflow
steamcast_useragent.rb,8000,Streamcast HTTP User-Agent Buffer Overflow
sybase_easerver.rb,8080,Sybase EAServer 5.2 Remote Stack Buffer Overflow
sysax_create_folder.rb,80,Sysax Multi Server 5.64 Create Folder Buffer Overflow
trackercam_phparg_overflow.rb,8090,TrackerCam PHP Argument Buffer Overflow
trendmicro_officescan.rb,8080,Trend Micro OfficeScan Remote Stack Buffer Overflow
vmware_vcenter_chargeback_upload.rb,443,VMware vCenter Chargeback Manager ImageUploadServlet Arbitrary File Upload
xitami_if_mod_since.rb,80,Xitami 2.5c2 Web Server If-Modified-Since Overflow
zenworks_assetmgmt_uploadservlet.rb,8080,Novell ZENworks Asset Management Remote Execution
ms01_023_printer.rb,80,MS01-023 Microsoft IIS 5.0 Printer Host Header Overflow
ms01_026_dbldecode.rb,80,MS01-026 Microsoft IIS/PWS CGI Filename Double Decode Command Execution
ms01_033_idq.rb,80,MS01-033 Microsoft IIS 5.0 IDQ Path Overflow
ms02_018_htr.rb,80,MS02-018 Microsoft IIS 4.0 .HTR Path Overflow
mailenable_login.rb,143,MailEnable IMAPD (2.34/2.35) Login Request Buffer Overflow
mercur_login.rb,143,Mercur Messaging 2005 IMAP Login Buffer Overflow
mercury_login.rb,143,Mercury/32 LOGIN Buffer Overflow
novell_netmail_auth.rb,143,Novell NetMail IMAP AUTHENTICATE Buffer Overflow
imail_thc.rb,389,IMail LDAP Service Buffer Overflow
pgp_keyserver7.rb,389,Network Associates PGP KeyServer 7 LDAP Buffer Overflow
calicclnt_getconfig.rb,10203,Computer Associates License Client GETCONFIG Overflow
calicserv_getconfig.rb,10202,Computer Associates License Server GETCONFIG Overflow
flexnet_lmgrd_bof.rb,27000,FlexNet License Server Manager lmgrd Buffer Overflow
sentinel_lm7_udp.rb,5093,SentinelLM UDP Buffer Overflow
domino_icalendar_organizer.rb,25,"""IBM Lotus Domino iCalendar MAILTO Buffer Overflow"","
domino_sametime_stmux.rb,1533,IBM Lotus Domino Sametime STMux.exe Stack Buffer Overflow
hummingbird_exceed.rb,515,Hummingbird Connectivity 10 SP5 LPD Buffer Overflow
niprint.rb,515,NIPrint LPD Request Overflow
saplpd.rb,515,SAP SAPLPD 6.28 Buffer Overflow
wincomlpd_admin.rb,13500,WinComLPD Buffer Overflow
achat_bof.rb,9256,Achat Unicode SEH Buffer Overflow
agentxpp_receive_agentx.rb,705,AgentX++ Master AgentX::receive_agentx Stack Buffer Overflow
allmediaserver_bof.rb,888,ALLMediaServer 0.8 Buffer Overflow
altiris_ds_sqli.rb,402,Symantec Altiris DS SQL Injection
asus_dpcproxy_overflow.rb,623,Asus Dpcproxy Buffer Overflow
avaya_winpmd_unihostrouter.rb,3217,Avaya WinPMD UniteHostRouter Buffer Overflow
avidphoneticindexer.rb,4659,"""Avid Media Composer 5.5 - Avid Phonetic Indexer Buffer Overflow"","
bakbone_netvault_heap.rb,20031,BakBone NetVault Remote Heap Overflow
bcaaa_bof.rb,16102,"""Blue Coat Authentication and Authorization Agent (BCAAA) 5 Buffer Overflow"","
bigant_server_250.rb,6660,BigAnt Server 2.50 SP1 Buffer Overflow
bigant_server_dupf_upload.rb,6661,BigAnt Server DUPF Command Arbitrary File Upload
bigant_server_sch_dupf_bof.rb,6661,BigAnt Server 2 SCH And DUPF Buffer Overflow
bigant_server_usv.rb,6660,BigAnt Server 2.52 USV Buffer Overflow
bigant_server.rb,6080,BigAnt Server 2.2 Buffer Overflow
bomberclone_overflow.rb,11000,Bomberclone 0.11.6 Buffer Overflow
bopup_comm.rb,19810,Bopup Communications Server Buffer Overflow
borland_interbase.rb,3050,Borland Interbase Create-Request Buffer Overflow
borland_starteam.rb,3057,Borland CaliberRM StarTeam Multicast Service Buffer Overflow
citrix_streamprocess_data_msg.rb,6905,Citrix Provisioning Services 5.6 SP1 Streamprocess Opcode 0x40020000 Buffer Overflow
citrix_streamprocess_get_boot_record_request.rb,6905,Citrix Provisioning Services 5.6 SP1 Streamprocess Opcode 0x40020004 Buffer Overflow
citrix_streamprocess_get_footer.rb,6905,Citrix Provisioning Services 5.6 SP1 Streamprocess Opcode 0x40020002 Buffer Overflow
citrix_streamprocess_get_objects.rb,6905,Citrix Provisioning Services 5.6 SP1 Streamprocess Opcode 0x40020006 Buffer Overflow
citrix_streamprocess.rb,6905,Citrix Provisioning Services 5.6 streamprocess.exe Buffer Overflow
cloudme_sync.rb,8888,CloudMe Sync v1.10.9
commvault_cmd_exec.rb,8400,Commvault Communications Service (cvd) Command Injection
disk_savvy_adm.rb,9124,Disk Savvy Enterprise v10.4.18
doubletake.rb,1100,DoubleTake/HP StorageWorks Storage Mirroring Service Authentication Overflow
eiqnetworks_esa_topology.rb,10628,eIQNetworks ESA Topology DELETEDEVICE Overflow
eiqnetworks_esa.rb,10616,eIQNetworks ESA License Manager LICMGR_ADDLICENSE Overflow
enterasys_netsight_syslog_bof.rb,514,Enterasys NetSight nssyslogd.exe Buffer Overflow
fb_cnct_group.rb,3050,Firebird Relational Database CNCT Group Number Buffer Overflow
fb_isc_attach_database.rb,3050,Firebird Relational Database isc_attach_database() Buffer Overflow
fb_isc_create_database.rb,3050,Firebird Relational Database isc_create_database() Buffer Overflow
fb_svc_attach.rb,3050,Firebird Relational Database SVC_attach() Buffer Overflow
gh0st.rb,80,Gh0st Client buffer Overflow
gimp_script_fu.rb,10008,GIMP script-fu Server Buffer Overflow
hp_dataprotector_cmd_exec.rb,5555,HP Data Protector 8.10 Remote Command Execution
hp_dataprotector_dtbclslogin.rb,3817,HP Data Protector DtbClsLogin Buffer Overflow
hp_dataprotector_exec_bar.rb,5555,HP Data Protector Backup Client Service Remote Code Execution
hp_dataprotector_install_service.rb,5555,HP Data Protector 6.10/6.11/6.20 Install Service
hp_dataprotector_new_folder.rb,3817,HP Data Protector Create New Folder Buffer Overflow
hp_dataprotector_traversal.rb,5555,HP Data Protector Backup Client Service Directory Traversal
hp_imc_dbman_restartdb_unauth_rce.rb,2810,HPE iMC dbman RestartDB Unauthenticated RCE
hp_imc_dbman_restoredbase_unauth_rce.rb,2810,HPE iMC dbman RestoreDBase Unauthenticated RCE
hp_imc_uam.rb,1811,HP Intelligent Management Center UAM Buffer Overflow
hp_loadrunner_magentproc_cmdexec.rb,54345,"""HP Mercury LoadRunner Agent magentproc.exe Remote Command Execution"","
hp_loadrunner_magentproc.rb,443,HP LoadRunner magentproc.exe Overflow
hp_magentservice.rb,23472,HP Diagnostics Server magentservice.exe Overflow
hp_omniinet_1.rb,5555,HP OmniInet.exe MSG_PROTOCOL Buffer Overflow
hp_omniinet_2.rb,5555,HP OmniInet.exe MSG_PROTOCOL Buffer Overflow
hp_omniinet_3.rb,5555,HP OmniInet.exe Opcode 27 Buffer Overflow
hp_omniinet_4.rb,5555,"""HP OmniInet.exe Opcode 20 Buffer Overflow"","
hp_ovtrace.rb,5051,HP OpenView Operations OVTrace Buffer Overflow
ib_isc_attach_database.rb,3050,Borland InterBase isc_attach_database() Buffer Overflow
ib_isc_create_database.rb,3050,Borland InterBase isc_create_database() Buffer Overflow
ib_svc_attach.rb,3050,Borland InterBase SVC_attach() Buffer Overflow
ibm_cognos_tm1admsd_bof.rb,5498,IBM Cognos tm1admsd.exe Overflow
ibm_director_cim_dllinject.rb,6988,IBM System Director Agent DLL Injection
ibm_tsm_cad_ping.rb,1582,IBM Tivoli Storage Manager Express CAD Service Buffer Overflow
ibm_tsm_rca_dicugetidentify.rb,1582,IBM Tivoli Storage Manager Express RCA Service Buffer Overflow
landesk_aolnsrvr.rb,65535,LANDesk Management Suite 8.7 Alert Service Buffer Overflow
lianja_db_net.rb,8001,Lianja SQL 1.0.0RC5.1 db_netserver Stack Buffer Overflow
manageengine_eventlog_analyzer_rce.rb,8400,ManageEngine EventLog Analyzer Remote Code Execution
mercury_phonebook.rb,105,Mercury/32 PH Server Module Buffer Overflow
ms10_104_sharepoint.rb,8082,MS10-104 Microsoft Office SharePoint Server 2007 Remote Code Execution
nettransport.rb,22222,NetTransport Download Manager 2.90.510 Buffer Overflow
nvidia_mental_ray.rb,7414,Nvidia Mental Ray Satellite Service Arbitrary DLL Injection
plugx.rb,13579,PlugX Controller Stack Overflow
poisonivy_21x_bof.rb,3460,Poison Ivy 2.1.x C2 Buffer Overflow
poisonivy_bof.rb,3460,Poison Ivy Server Buffer Overflow
sap_2005_license.rb,30000,SAP Business One License Manager 2005 Buffer Overflow
sap_netweaver_dispatcher.rb,3200,SAP NetWeaver Dispatcher DiagTraceR3Info Buffer Overflow
shixxnote_font.rb,2000,ShixxNOTE 6.net Font Field Overflow
solidworks_workgroup_pdmwservice_file_write.rb,30000,SolidWorks Workgroup PDM 2014 pdmwService.exe Arbitrary File Write
tiny_identd_overflow.rb,113,TinyIdentD 2.2 Stack Buffer Overflow
trendmicro_cmdprocessor_addtask.rb,20101,"""TrendMicro Control Manger CmdProcessor.exe Stack Buffer Overflow"","
windows_rsh.rb,514,Windows RSH Daemon Buffer Overflow
ms10_025_wmss_connect_funnel.rb,1755,Windows Media Services ConnectFunnel Stack Buffer Overflow
timbuktu_fileupload.rb,407,Timbuktu Pro Directory Traversal/File Upload
ms02_039_slammer.rb,1434,MS02-039 Microsoft SQL Server Resolution Overflow
mysql_yassl_hello.rb,3306,MySQL yaSSL SSL Hello Message Buffer Overflow
xlink_nfsd.rb,2049,Omni-NFS Server Buffer Overflow
file_reporter_fsfui_upload.rb,3037,NFR Agent FSFUI Record File Upload RCE
netiq_pum_eval.rb,443,NetIQ Privileged User Manager 2.3.1 ldapagnt_eval() Remote Perl Code Execution
nmap_stor.rb,689,Novell NetMail NMAP STOR Buffer Overflow
zenworks_preboot_op21_bof.rb,998,Novell ZENworks Configuration Management Preboot Service 0x21 Buffer Overflow
zenworks_preboot_op4c_bof.rb,998,Novell ZENworks Configuration Management Preboot Service 0x4c Buffer Overflow
zenworks_preboot_op6_bof.rb,998,Novell ZENworks Configuration Management Preboot Service 0x06 Buffer Overflow
zenworks_preboot_op6c_bof.rb,998,Novell ZENworks Configuration Management Preboot Service 0x6c Buffer Overflow
client_system_analyzer_upload.rb,1158,Oracle Database Client System Analyzer Arbitrary File Upload
osb_ndmp_auth.rb,10000,Oracle Secure Backup NDMP_CONNECT_CLIENT_AUTH Buffer Overflow
tns_arguments.rb,1521,Oracle 8i TNS Listener (ARGUMENTS) Buffer Overflow
tns_auth_sesskey.rb,1521,Oracle 10gR2 TNS Listener AUTH_SESSKEY Buffer Overflow
tns_service_name.rb,1521,Oracle 8i TNS Listener SERVICE_NAME Buffer Overflow
seattlelab_pass.rb,110,Seattle Lab Mail 5.5 POP3 Buffer Overflow
bluecoat_winproxy_host.rb,80,Blue Coat WinProxy Host Header Overflow
ccproxy_telnet_ping.rb,23,CCProxy Telnet Proxy Ping Overflow
proxypro_http_get.rb,3128,Proxy-Pro Professional GateKeeper 4.7 GET Request Overflow
qbik_wingate_wwwproxy.rb,80,Qbik WinGate WWW Proxy Server URL Processing Overflow
abb_wserver_exec.rb,12221,ABB MicroSCADA wserver.exe Remote Code Execution
advantech_webaccess_dashboard_file_upload.rb,80,"""Advantech WebAccess Dashboard Viewer uploadImageCommon Arbitrary File Upload"","
advantech_webaccess_webvrpcs_bof.rb,4592,Advantech WebAccess Webvrpcs Service Opcode 80061 Stack Buffer Overflow
citect_scada_odbc.rb,20222,CitectSCADA/CitectFacilities ODBC Buffer Overflow
codesys_gateway_server_traversal.rb,1211,SCADA 3S CoDeSys Gateway Server Directory Traversal
codesys_web_server.rb,8080,SCADA 3S CoDeSys CmpWebServer Stack Buffer Overflow
daq_factory_bof.rb,20034,DaqFactory HMI NETB Request Overflow
factorylink_csservice.rb,7580,"""Siemens FactoryLink 8 CSService Logging Path Param Buffer Overflow"","
factorylink_vrn_09.rb,7579,Siemens FactoryLink vrn.exe Opcode 9 Buffer Overflow
ge_proficy_cimplicity_gefebt.rb,80,GE Proficy CIMPLICITY gefebt.exe Remote Code Execution
iconics_genbroker.rb,38080,"""Iconics GENESIS32 Integer Overflow Version 9.21.201.01"","
igss_exec_17.rb,12397,Interactive Graphical SCADA System Remote Command Injection
igss9_igssdataserver_listall.rb,12401,"""7-Technologies IGSS IGSSdataServer.exe Stack Buffer Overflow"","
indusoft_webstudio_exec.rb,4322,InduSoft Web Studio Arbitrary Upload Remote Code Execution
procyon_core_server.rb,23,"""Procyon Core Server HMI Coreservice.exe Stack Buffer Overflow"","
realwin_on_fc_binfile_a.rb,910,DATAC RealWin SCADA Server 2 On_FC_CONNECT_FCS_a_FILE Buffer Overflow
realwin_on_fcs_login.rb,910,RealWin SCADA Server DATAC Login Buffer Overflow
realwin_scpc_initialize_rf.rb,912,DATAC RealWin SCADA Server SCPC_INITIALIZE_RF Buffer Overflow
realwin_scpc_initialize.rb,912,DATAC RealWin SCADA Server SCPC_INITIALIZE Buffer Overflow
realwin_scpc_txtevent.rb,912,DATAC RealWin SCADA Server SCPC_TXTEVENT Buffer Overflow
realwin.rb,910,DATAC RealWin SCADA Server Buffer Overflow
scadapro_cmdexe.rb,11234,Measuresoft ScadaPro Remote Command Execution
sunway_force_control_netdbsrv.rb,2001,Sunway Forcecontrol SNMP NetDBServer.exe Opcode 0x57
winlog_runtime_2.rb,46824,Sielco Sistemi Winlog Buffer Overflow 2.07.14 - 2.07.16
winlog_runtime.rb,46823,Sielco Sistemi Winlog Buffer Overflow
yokogawa_bkbcopyd_bof.rb,20111,Yokogawa CENTUM CS 3000 BKBCopyD.exe Buffer Overflow
yokogawa_bkesimmgr_bof.rb,34205,Yokogawa CS3000 BKESimmgr.exe Buffer Overflow
yokogawa_bkfsim_vhfd.rb,20010,Yokogawa CS3000 BKFSim_vhfd.exe Buffer Overflow
yokogawa_bkhodeq_bof.rb,20171,Yokogawa CENTUM CS 3000 BKHOdeq.exe Buffer Overflow
aim_triton_cseq.rb,5061,AIM Triton 1.0.4 CSeq Buffer Overflow
sipxezphone_cseq.rb,5060,SIPfoundry sipXezPhone 0.35a CSeq Field Overflow
sipxphone_cseq.rb,5060,SIPfoundry sipXphone 2.6.0.27 CSeq Buffer Overflow
ms09_050_smb2_negotiate_func_index.rb,445,MS09-050 Microsoft SRV2.SYS SMB Negotiate ProcessID Function Table Dereference
ms17_010_eternalblue.rb,445,MS17-010 EternalBlue SMB Remote Windows Kernel Pool Corruption
mailcarrier_smtp_ehlo.rb,25,TABS MailCarrier v2.51 SMTP EHLO Overflow
mercury_cram_md5.rb,25,Mercury Mail SMTP AUTH CRAM-MD5 Buffer Overflow
ms03_046_exchange2000_xexch50.rb,25,MS03-046 Exchange 2000 XEXCH50 Heap Overflow
njstar_smtp_bof.rb,25,NJStar Communicator 3.00 MiniSMTP Buffer Overflow
wmailserver.rb,25,SoftiaCom WMailserver 1.0 Buffer Overflow
freeftpd_key_exchange.rb,22,FreeFTPd 1.0.10 Key Exchange Algorithm String Buffer Overflow
freesshd_authbypass.rb,22,"""Freesshd Authentication Bypass"","
freesshd_key_exchange.rb,22,FreeSSHd 1.0.9 Key Exchange Algorithm String Buffer Overflow
gamsoft_telsrv_username.rb,23,GAMSoft TelSrv 1.5 Username Buffer Overflow
goodtech_telnet.rb,2380,GoodTech Telnet Server Buffer Overflow
attftp_long_filename.rb,69,Allied Telesyn TFTP Server 1.9 Long Filename Overflow
dlink_long_filename.rb,69,D-Link TFTP 1.0 Long Filename Buffer Overflow
futuresoft_transfermode.rb,69,FutureSoft TFTP Server 2000 Transfer-Mode Overflow
opentftp_error_code.rb,69,OpenTFTP SP 1.4 Error Packet Overflow
quick_tftp_pro_mode.rb,69,Quick FTP Pro 2.1 Transfer-Mode Overflow
tftpd32_long_filename.rb,69,TFTPD32 Long Filename Buffer Overflow
tftpdwin_long_filename.rb,69,TFTPDWIN v0.4.2 Long Filename Buffer Overflow
tftpserver_wrq_bof.rb,69,TFTP Server for Windows 1.4 ST WRQ Buffer Overflow
threectftpsvc_long_mode.rb,69,3CTftpSvc TFTP Long Mode Buffer Overflow
winvnc_http_get.rb,5800,WinVNC Web Server GET Overflow
safenet_ike_11.rb,62514,SafeNet SoftRemote IKE Service Buffer Overflow
ms04_045_wins.rb,42,MS04-045 Microsoft WINS Service Memory Overwrite
apf_privesc_jcl.rb,21,JCL to Escalate Privileges
metasploit_pcaplog.rb,2940,Multi Escalate Metasploit pcap_log Local Privilege Escalation
