date,country,year,yield,type,name,x,y
1945-07-16,US,1945,21,A,TrinityTrinity,2043,7047
1946-06-30,US,1946,21,A,CrossroadsAble,9596,5741
1946-07-24,US,1946,21,U,CrossroadsBaker,9596,5742
1948-04-14,US,1948,37,A,SandstoneX-ray,9506,5747
1948-04-30,US,1948,49,A,SandstoneYoke,9508,5744
1948-05-14,US,1948,18,A,SandstoneZebra,9509,5741
1951-01-27,US,1951,1,A,RangerAble,1779,7232
1951-01-28,US,1951,8,A,RangerBaker,1779,7232
1951-02-01,US,1951,1,A,RangerEasy,1779,7232
1951-02-02,US,1951,8,A,RangerBaker-2,1779,7232
1951-02-06,US,1951,22,A,RangerFox,1779,7232
1951-04-07,US,1951,81,A,GreenhouseDog,9509,5740
1951-04-20,US,1951,47,A,GreenhouseEasy,9506,5746
1951-05-08,US,1951,225,A,GreenhouseGeorge,9508,5744
1951-05-24,US,1951,45.5,A,GreenhouseItem,9506,5747
1951-10-22,US,1951,0.05,A,BusterAble,1777,7248
1951-10-28,US,1951,3.5,A,BusterBaker,1777,7248
1951-10-30,US,1951,14,A,BusterCharlie,1777,7248
1951-11-01,US,1951,21,A,BusterDog,1777,7248
1951-11-05,US,1951,31,A,BusterEasy,1777,7248
1951-11-19,US,1951,1.2,A,JangleSugar,1776,7251
1951-11-29,US,1951,1.2,C,JangleUncle,1776,7254
1952-04-01,US,1952,1,A,TumblerAble,1779,7232
1952-04-15,US,1952,1,A,TumblerBaker,1777,7248
1952-04-22,US,1952,31,A,TumblerCharlie,1777,7248
1952-05-01,US,1952,19,A,SnapperDog,1777,7248
1952-05-07,US,1952,12,A,SnapperEasy,1774,7246
1952-05-25,US,1952,11,A,SnapperFox,1774,7249
1952-06-01,US,1952,15,A,SnapperGeorge,1777,7246
1952-06-05,US,1952,14,A,SnapperHow,1774,7251
1952-10-31,US,1952,10400,A,IvyMike,9504,5721
1952-11-15,US,1952,500,A,IvyKing,9509,5741
1953-03-17,US,1953,16,A,Upshot-KnotholeAnnie,1777,7246
1953-03-24,US,1953,24,A,Upshot-KnotholeNancy,1775,7249
1953-03-31,US,1953,0.2,A,Upshot-KnotholeRuth,1777,7248
1953-04-06,US,1953,11,A,Upshot-KnotholeDixie,1777,7248
1953-04-11,US,1953,0.2,A,Upshot-KnotholeRay,1775,7249
1953-04-18,US,1953,23,A,Upshot-KnotholeBadger,1774,7251
1953-04-25,US,1953,43,A,Upshot-KnotholeSimon,1775,7246
1953-05-08,US,1953,27,A,Upshot-KnotholeEncore,1779,7232
1953-05-19,US,1953,32,A,Upshot-KnotholeHarry,1777,7246
1953-05-25,US,1953,15,A,Upshot-KnotholeGrable,1780,7231
1953-06-04,US,1953,61,A,Upshot-KnotholeClimax,1777,7248
1954-02-28,US,1954,15e3,A,CastleBravo,9590,5748
1954-03-26,US,1954,11e3,A,CastleRomeo,9590,5748
1954-04-06,US,1954,110,A,CastleKoon,9593,5737
1954-04-25,US,1954,6900,A,CastleUnion,9593,5746
1954-05-04,US,1954,13500,A,CastleYankee,9593,5746
1954-05-13,US,1954,1690,A,CastleNectar,9504,5747
1955-02-18,US,1955,1,A,TeapotWasp,1777,7248
1955-02-22,US,1955,2,A,TeapotMoth,1777,7246
1955-03-01,US,1955,7,A,TeapotTesla,1776,7251
1955-03-07,US,1955,43,A,TeapotTurk,1774,7251
1955-03-12,US,1955,4,A,TeapotHornet,1777,7246
1955-03-22,US,1955,8,A,TeapotBee,1777,7249
1955-03-23,US,1955,1,C,TeapotEss,1776,7254
1955-03-29,US,1955,14,A,TeapotApple-1,1775,7249
1955-03-29,US,1955,3,A,TeapotWasp Prime,1776,7248
1955-04-06,US,1955,3,A,TeapotHA (High Altitude),1776,7245
1955-04-09,US,1955,2,A,TeapotPost,1776,7251
1955-04-15,US,1955,22,A,TeapotMET (Military Effects T,1779,7232
1955-05-05,US,1955,29,A,TeapotApple-2,1775,7246
1955-05-14,US,1955,30,U,WigwamWigwam,1492,6755
1955-05-15,US,1955,28,A,TeapotZucchini,1777,7249
1955-11-01,US,1955,0,A,Project 56Project 56 No. 1,1779,7237
1955-11-03,US,1955,0,A,Project 56Project 56 No. 2,1779,7237
1955-11-05,US,1955,0,A,Project 56Project 56 No. 3,1779,7237
1956-01-18,US,1956,0.01,A,Project 56Project 56 No. 4,1779,7237
1956-05-04,US,1956,40,A,RedwingLacrosse,9509,5741
1956-05-20,US,1956,3800,A,RedwingCherokee,9593,5746
1956-05-27,US,1956,3500,A,RedwingZuni,9593,5737
1956-05-27,US,1956,0.19,A,RedwingYuma,9508,5744
1956-05-30,US,1956,14.9,A,RedwingErie,9509,5739
1956-06-06,US,1956,13.7,A,RedwingSeminole,9505,5747
1956-06-11,US,1956,365,A,RedwingFlathead,9595,5743
1956-06-11,US,1956,8,A,RedwingBlackfoot,9509,5740
1956-06-13,US,1956,1.49,A,RedwingKickapoo,9508,5744
1956-06-16,US,1956,1.7,A,RedwingOsage,9509,5740
1956-06-21,US,1956,15.2,A,RedwingInca,9509,5744
1956-06-25,US,1956,1100,A,RedwingDakota,9595,5743
1956-07-02,US,1956,360,A,RedwingMohawk,9508,5744
1956-07-08,US,1956,1850,A,RedwingApache,9504,5747
1956-07-10,US,1956,4500,A,RedwingNavajo,9593,5746
1956-07-20,US,1956,5e3,A,RedwingTewa,9592,5747
1956-07-21,US,1956,250,A,RedwingHuron,9509,5747
1957-04-24,US,1957,0,A,Project 57Project 57 No. 1,1775,7255
1957-05-28,US,1957,12,A,PlumbbobBoltzmann,1777,7249
1957-06-02,US,1957,0.14,A,PlumbbobFranklin,1777,7246
1957-06-05,US,1957,5e-4,A,PlumbbobLassen,1776,7251
1957-06-18,US,1957,10,A,PlumbbobWilson,1776,7251
1957-06-24,US,1957,37,A,PlumbbobPriscilla,1779,7232
1957-07-01,US,1957,0,A,PlumbbobCoulomb-A,1777,7246
1957-07-05,US,1957,74,A,PlumbbobHood,1776,7251
1957-07-15,US,1957,17,A,PlumbbobDiablo,1774,7252
1957-07-19,US,1957,2,A,PlumbbobJohn,1776,7253
1957-07-24,US,1957,10,A,PlumbbobKepler,1775,7249
1957-07-25,US,1957,9.7,A,PlumbbobOwens,1776,7251
1957-07-26,US,1957,0.01,U,PlumbbobPascal-A,1777,7246
1957-08-07,US,1957,19,A,PlumbbobStokes,1777,7248
1957-08-10,US,1957,0,U,PlumbbobSaturn,1777,7255
1957-08-18,US,1957,17,A,PlumbbobShasta,1774,7251
1957-08-23,US,1957,11,A,PlumbbobDoppler,1777,7248
1957-08-27,US,1957,0.01,U,PlumbbobPascal-B,1776,7246
1957-08-30,US,1957,4.7,A,PlumbbobFranklin Prime,1777,7248
1957-08-31,US,1957,44,A,PlumbbobSmoky,1776,7254
1957-09-02,US,1957,11,A,PlumbbobGalileo,1775,7246
1957-09-06,US,1957,0.197,A,PlumbbobWheeler,1776,7251
1957-09-06,US,1957,0.3,A,PlumbbobCoulomb-B,1777,7246
1957-09-08,US,1957,1,A,PlumbbobLaplace,1777,7248
1957-09-14,US,1957,11,A,PlumbbobFizeau,1777,7246
1957-09-16,US,1957,12,A,PlumbbobNewton,1777,7248
1957-09-19,US,1957,1.7,U,PlumbbobRainier,1772,7255
1957-09-23,US,1957,19,A,PlumbbobWhitney,1774,7251
1957-09-28,US,1957,12,A,PlumbbobCharleston,1776,7251
1957-10-07,US,1957,8,A,PlumbbobMorgan,1776,7251
1957-12-06,US,1957,0.01,U,Project 58Pascal-C,1777,7246
1957-12-09,US,1957,0.5,A,Project 58Coulomb-C,1777,7246
1958-02-22,US,1958,5e-4,U,Project 58AVenus,1774,7250
1958-03-14,US,1958,5e-4,U,Project 58AUranus,1774,7250
1958-04-28,US,1958,1.7,A,Hardtack IYucca,9666,5803
1958-05-05,US,1958,18,A,Hardtack ICactus,9509,5740
1958-05-11,US,1958,1360,A,Hardtack IFir,9590,5748
1958-05-11,US,1958,81,A,Hardtack IButternut,9509,5739
1958-05-12,US,1958,1370,A,Hardtack IKoa,9505,5747
1958-05-16,US,1958,9,U,Hardtack IWahoo,9504,5727
1958-05-20,US,1958,5.9,A,Hardtack IHolly,9509,5739
1958-05-21,US,1958,25.1,A,Hardtack INutmeg,9593,5737
1958-05-26,US,1958,330,A,Hardtack IYellowwood,9505,5746
1958-05-26,US,1958,57,A,Hardtack IMagnolia,9509,5739
1958-05-30,US,1958,11.6,A,Hardtack ITobacco,9505,5746
1958-05-31,US,1958,92,A,Hardtack ISycamore,9590,5748
1958-06-02,US,1958,15,A,Hardtack IRose,9509,5739
1958-06-08,US,1958,8,U,Hardtack IUmbrella,9505,5730
1958-06-10,US,1958,213,A,Hardtack IMaple,9594,5748
1958-06-14,US,1958,319,A,Hardtack IAspen,9590,5748
1958-06-14,US,1958,1450,A,Hardtack IWalnut,9505,5746
1958-06-18,US,1958,11,A,Hardtack ILinden,9509,5739
1958-06-27,US,1958,412,A,Hardtack IRedwood,9594,5748
1958-06-27,US,1958,880,A,Hardtack IElder,9505,5746
1958-06-28,US,1958,8900,A,Hardtack IOak,9502,5744
1958-06-29,US,1958,14,A,Hardtack IHickory,9509,5737
1958-07-01,US,1958,5.2,A,Hardtack ISequoia,9509,5739
1958-07-02,US,1958,220,A,Hardtack ICedar,9590,5748
1958-07-05,US,1958,397,A,Hardtack IDogwood,9505,5746
1958-07-12,US,1958,9300,A,Hardtack IPoplar,9590,5748
1958-07-14,US,1958,0,A,Hardtack IScaevola,9509,5740
1958-07-17,US,1958,255,A,Hardtack IPisonia,9508,5740
1958-07-22,US,1958,65,A,Hardtack IJuniper,9593,5737
1958-07-22,US,1958,202,A,Hardtack IOlive,9505,5746
1958-07-26,US,1958,2e3,A,Hardtack IPine,9505,5746
1958-08-01,US,1958,3800,A,NewsreelTeak,290,6046
1958-08-06,US,1958,0,A,Hardtack IQuince,9509,5740
1958-08-12,US,1958,3800,A,NewsreelOrange,290,6024
1958-08-18,US,1958,0.02,A,Hardtack IFig,9509,5740
1958-08-27,US,1958,1.5,A,ArgusArgus I,4680,2783
1958-08-30,US,1958,1.5,A,ArgusArgus II,4772,2133
1958-09-06,US,1958,1.5,A,ArgusArgus III,4730,2192
1958-09-12,US,1958,0.038,U,Hardtack IIOtero,1777,7246
1958-09-17,US,1958,0.015,U,Hardtack IIBernalillo,1777,7246
1958-09-19,US,1958,0.083,A,Hardtack IIEddy,1777,7248
1958-09-21,US,1958,0.0015,U,Hardtack IILuna,1777,7246
1958-09-23,US,1958,0.01,U,Hardtack IIMercury,1772,7255
1958-09-26,US,1958,0.002,U,Hardtack IIValencia,1777,7246
1958-09-28,US,1958,0.013,U,Hardtack IIMars,1772,7255
1958-09-29,US,1958,2,A,Hardtack IIMora,1777,7248
1958-10-05,US,1958,0.077,A,Hardtack IIHidalgo,1777,7248
1958-10-05,US,1958,0.0055,U,Hardtack IIColfax,1776,7246
1958-10-08,US,1958,0.072,U,Hardtack IITamalpais,1772,7255
1958-10-10,US,1958,0.079,A,Hardtack IIQuay,1777,7249
1958-10-13,US,1958,1.4,A,Hardtack IILea,1777,7248
1958-10-14,US,1958,0.115,U,Hardtack IINeptune,1772,7255
1958-10-15,US,1958,0.0012,A,Hardtack IIHamilton,1779,7232
1958-10-16,US,1958,5,U,Hardtack IILogan,1772,7254
1958-10-16,US,1958,0.037,A,Hardtack IIDona Ana,1777,7248
1958-10-17,US,1958,0.024,A,Hardtack IIVesta,1776,7251
1958-10-18,US,1958,0.09,A,Hardtack IIRio Arriba,1777,7246
1958-10-20,US,1958,0,U,Hardtack IISan Juan,1777,7246
1958-10-22,US,1958,6,A,Hardtack IISocorro,1777,7248
1958-10-22,US,1958,0.115,A,Hardtack IIWrangell,1779,7232
1958-10-22,US,1958,0,A,Hardtack IIOberon,1775,7255
1958-10-22,US,1958,0.188,A,Hardtack IIRushmore,1776,7251
1958-10-24,US,1958,0.021,A,Hardtack IICatron,1777,7246
1958-10-24,US,1958,0.0017,A,Hardtack IIJuno,1776,7251
1958-10-26,US,1958,7e-4,A,Hardtack IICeres,1776,7254
1958-10-26,US,1958,4.9,A,Hardtack IISanford,1779,7232
1958-10-26,US,1958,2.2,A,Hardtack IIDe Baca,1777,7248
1958-10-27,US,1958,6e-4,A,Hardtack IIChavez,1777,7246
1958-10-29,US,1958,0.055,U,Hardtack IIEvans,1772,7255
1958-10-29,US,1958,0,A,Hardtack IIMazama,1776,7249
1958-10-29,US,1958,0.0078,A,Hardtack IIHumboldt,1777,7246
1958-10-30,US,1958,1.3,A,Hardtack IISanta Fe,1777,7248
1958-10-30,US,1958,0,A,Hardtack IIGanymede,1776,7249
1958-10-30,US,1958,22,U,Hardtack IIBlanca,1772,7254
1958-10-30,US,1958,2e-4,A,Hardtack IITitania,1775,7254
1961-09-15,US,1961,2.6,U,NougatAntler,1772,7254
1961-09-16,US,1961,10,U,NougatShrew,1777,7246
1961-10-01,US,1961,10,U,NougatBoomer,1776,7246
1961-10-10,US,1961,10,U,NougatChena,1772,7255
1961-10-29,US,1961,10,U,NougatMink,1777,7246
1961-12-03,US,1961,13.4,U,NougatFisher,1777,7246
1961-12-10,US,1961,3,U,NougatGnome,2115,6963
1961-12-13,US,1961,0.5,U,NougatMad,1776,7251
1961-12-17,US,1961,20,U,NougatRingtail,1777,7246
1961-12-22,US,1961,0.15,U,NougatFeather,1772,7255
1962-01-09,US,1962,5.1,U,NougatStoat,1776,7246
1962-01-18,US,1962,6.4,U,NougatAgouti,1776,7246
1962-01-30,US,1962,10,U,NougatDormouse,1776,7246
1962-02-08,US,1962,3.07,U,NougatStillwater,1776,7251
1962-02-09,US,1962,7.1,U,NougatArmadillo,1776,7246
1962-02-15,US,1962,5.7,U,NougatHard Hat,1776,7257
1962-02-19,US,1962,1.9,U,NougatChinchilla I,1777,7246
1962-02-19,US,1962,2,U,NougatCodsaw,1776,7251
1962-02-23,US,1962,11.9,U,NougatCimarron,1776,7251
1962-02-24,US,1962,10,C,NougatPlatypus,1777,7246
1962-03-05,US,1962,0.43,U,NougatDanny Boy,1767,7250
1962-03-06,US,1962,10,U,NougatErmine,1776,7246
1962-03-08,US,1962,8.4,U,NougatBrazos,1776,7251
1962-03-15,US,1962,8,U,NougatHognose,1777,7246
1962-03-28,US,1962,3.4,U,NougatHoosic,1776,7251
1962-03-31,US,1962,2,U,NougatChinchilla II,1776,7246
1962-04-05,US,1962,10.6,U,NougatDormouse Prime,1777,7246
1962-04-06,US,1962,9,U,NougatPassaic,1776,7250
1962-04-12,US,1962,1,U,NougatHudson,1776,7251
1962-04-14,US,1962,1.85,U,NougatPlatte,1773,7257
1962-04-21,US,1962,3,U,NougatDead,1777,7251
1962-04-25,US,1962,190,A,Dominic IAdobe,631,5152
1962-04-27,US,1962,410,A,Dominic IAztec,631,5152
1962-04-27,US,1962,5,U,NougatBlack,1776,7251
1962-05-02,US,1962,1090,A,Dominic IArkansas,631,5152
1962-05-04,US,1962,670,A,Dominic IQuesta,631,5152
1962-05-06,US,1962,600,A,Dominic IFrigate Bird,849,5343
1962-05-07,US,1962,8,U,NougatPaca,1777,7246
1962-05-08,US,1962,100,A,Dominic IYukon,631,5152
1962-05-09,US,1962,100,A,Dominic IMesilla,631,5152
1962-05-10,US,1962,10,U,NougatArikaree,1776,7251
1962-05-11,US,1962,50,A,Dominic IMuskegon,631,5152
1962-05-11,US,1962,10,U,Dominic ISwordfish,1550,6904
1962-05-12,US,1962,500,A,Dominic IEncino,631,5152
1962-05-12,US,1962,40,U,NougatAardvark,1777,7247
1962-05-14,US,1962,97,A,Dominic ISwanee,631,5152
1962-05-19,US,1962,4.5,U,NougatEel,1776,7251
1962-05-19,US,1962,73,A,Dominic IChetco,631,5152
1962-05-25,US,1962,8,U,NougatWhite,1776,7251
1962-05-25,US,1962,2.6,A,Dominic ITanana,631,5152
1962-05-27,US,1962,43,A,Dominic INambe,631,5152
1962-06-01,US,1962,3,U,NougatRaccoon,1776,7246
1962-06-06,US,1962,13,U,NougatPackrat,1776,7246
1962-06-08,US,1962,782,A,Dominic IAlma,633,5146
1962-06-09,US,1962,210,A,Dominic ITruckee,631,5152
1962-06-10,US,1962,3e3,A,Dominic IYeso,633,5146
1962-06-12,US,1962,1200,A,Dominic IHarlem,633,5146
1962-06-13,US,1962,2.9,U,NougatDes Moines,1773,7257
1962-06-15,US,1962,800,A,Dominic IRinconada,633,5146
1962-06-17,US,1962,52,A,Dominic IDulce,631,5152
1962-06-19,US,1962,2.2,A,Dominic IPetit,631,5152
1962-06-21,US,1962,11,U,NougatDaman I,1777,7246
1962-06-22,US,1962,81.5,A,Dominic IOtowi,631,5152
1962-06-27,US,1962,7650,A,Dominic IBighorn,631,5134
1962-06-27,US,1962,67,U,NougatHaymaker,1776,7246
1962-06-28,US,1962,10,U,NougatMarshmallow,1772,7244
1962-06-30,US,1962,1270,A,Dominic IBluestone,631,5146
1962-06-30,US,1962,4,U,NougatSacramento,1776,7250
1962-07-06,US,1962,104,C,StoraxSedan,1776,7254
1962-07-07,US,1962,10,A,SunbeamLittle Feller II,1769,7251
1962-07-09,US,1962,1400,A,FishbowlStarfish Prime,303,6074
1962-07-10,US,1962,1e3,A,Dominic ISunset,631,5152
1962-07-11,US,1962,3880,A,Dominic IPamlico,631,5140
1962-07-11,US,1962,0.5,C,SunbeamJohnnie Boy,1768,7251
1962-07-13,US,1962,20,U,StoraxMerrimac,1777,7246
1962-07-14,US,1962,0.6,A,SunbeamSmall Boy,1779,7232
1962-07-17,US,1962,10,A,SunbeamLittle Feller I,1769,7250
1962-07-27,US,1962,3.5,U,StoraxWichita,1776,7251
1962-08-24,US,1962,5,U,StoraxYork,1776,7251
1962-08-24,US,1962,2.5,U,StoraxBobac,1777,7246
1962-09-06,US,1962,2,U,StoraxRaritan,1776,7251
1962-09-14,US,1962,5,U,StoraxHyrax,1777,7246
1962-09-20,US,1962,11,U,StoraxPeba,1777,7246
1962-09-29,US,1962,1,U,StoraxAllegheny,1777,7250
1962-10-02,US,1962,75,A,Dominic IAndroscoggin,222,5885
1962-10-05,US,1962,115,U,StoraxMississippi,1776,7251
1962-10-06,US,1962,11.3,A,Dominic IBumping,305,5944
1962-10-12,US,1962,7,U,StoraxRoanoke,1776,7251
1962-10-12,US,1962,10,U,StoraxWolverine,1777,7246
1962-10-18,US,1962,1590,A,Dominic IChama,305,5885
1962-10-18,US,1962,10,U,StoraxTioga,1776,7251
1962-10-19,US,1962,12.5,U,StoraxBandicoot,1777,7246
1962-10-20,US,1962,10,A,FishbowlCheckmate,291,6002
1962-10-26,US,1962,400,A,FishbowlBluegill 3 Prime,300,6056
1962-10-27,US,1962,5,U,StoraxSantee,1776,7252
1962-10-27,US,1962,800,A,Dominic ICalamity,305,5944
1962-10-30,US,1962,8300,A,Dominic IHousatonic,222,5855
1962-11-01,US,1962,400,A,FishbowlKingfish,294,6038
1962-11-04,US,1962,10,A,FishbowlTightrope,303,6068
1962-11-09,US,1962,10,U,StoraxSt. Lawrence,1775,7253
1962-11-15,US,1962,10,U,StoraxGundi,1777,7246
1962-11-27,US,1962,5.2,U,StoraxAnacostia,1777,7251
1962-12-04,US,1962,10,U,StoraxTaunton,1776,7251
1962-12-12,US,1962,10,U,StoraxMadison,1772,7254
1962-12-12,US,1962,11,U,StoraxNumbat,1777,7246
1962-12-14,US,1962,10,U,StoraxManatee,1776,7251
1963-02-08,US,1963,6,U,StoraxCasselman,1776,7252
1963-02-08,US,1963,10,U,StoraxHatchie,1776,7251
1963-02-08,US,1963,10,U,StoraxFerret,1777,7247
1963-02-08,US,1963,9,U,StoraxAcushi,1777,7246
1963-02-15,US,1963,10,U,StoraxChipmunk,1777,7246
1963-02-21,US,1963,3,U,StoraxKaweah,1776,7251
1963-02-21,US,1963,10,U,StoraxCarmel,1775,7252
1963-03-01,US,1963,10,U,StoraxJerboa,1777,7246
1963-03-15,US,1963,10,U,StoraxToyah,1776,7251
1963-03-29,US,1963,11,U,StoraxGerbil,1777,7246
1963-04-05,US,1963,7,U,StoraxFerret Prime,1777,7246
1963-04-10,US,1963,10,U,StoraxCoypu,1777,7246
1963-04-11,US,1963,6,U,StoraxCumberland,1775,7253
1963-04-24,US,1963,10,U,StoraxKootanai,1776,7251
1963-04-24,US,1963,10,U,StoraxPaisano,1776,7251
1963-05-09,US,1963,8,U,StoraxGundi Prime,1777,7246
1963-05-15,US,1963,0,A,Roller CoasterDouble Tracks,1775,7255
1963-05-17,US,1963,10,U,StoraxHarkee,1777,7246
1963-05-17,US,1963,10,U,StoraxTejon,1777,7246
1963-05-22,US,1963,20,U,StoraxStones,1776,7250
1963-05-25,US,1963,0,A,Roller CoasterClean Slate I,1775,7255
1963-05-29,US,1963,2,U,StoraxPleasant,1776,7251
1963-05-31,US,1963,0,A,Roller CoasterClean Slate II,1775,7252
1963-06-05,US,1963,3.1,U,StoraxYuba,1772,7255
1963-06-06,US,1963,3,U,StoraxHutia,1776,7246
1963-06-06,US,1963,10,U,StoraxApshapa,1776,7251
1963-06-09,US,1963,0,A,Roller CoasterClean Slate III,1775,7255
1963-06-14,US,1963,3,U,StoraxMataco,1777,7246
1963-06-25,US,1963,4,U,StoraxKennebec,1776,7251
1963-08-12,US,1963,8,U,NiblickPekan,1777,7246
1963-08-15,US,1963,3,U,NiblickSatsop,1775,7252
1963-08-23,US,1963,10,U,NiblickKohocton S,1776,7251
1963-09-13,US,1963,1,U,NiblickAhtanum,1775,7253
1963-09-13,US,1963,249,U,NiblickBilby,1777,7247
1963-09-27,US,1963,0.08,U,NiblickCarp,1777,7246
1963-09-27,US,1963,0.08,U,NiblickNarraguagus,1775,7252
1963-10-11,US,1963,8,U,NiblickGrunion,1777,7246
1963-10-11,US,1963,0.38,U,NiblickTornillo,1776,7251
1963-10-16,US,1963,60,U,NiblickClearwater,1771,7255
1963-10-17,US,1963,10,U,NiblickMullet,1776,7251
1963-10-26,US,1963,12,U,NiblickShoal,1712,7373
1963-11-14,US,1963,9,U,NiblickAnchovy,1777,7246
1963-11-15,US,1963,2,U,NiblickMustang,1776,7251
1963-11-22,US,1963,20,U,NiblickGreys,1776,7251
1963-12-04,US,1963,10,U,NiblickBarracuda S,1777,7246
1963-12-12,US,1963,5.3,U,NiblickEagle,1776,7251
1963-12-20,US,1963,10,U,NiblickTuna,1777,7246
1964-01-16,US,1964,38,U,NiblickFore,1776,7251
1964-01-23,US,1964,10.5,U,NiblickOconto,1776,7251
1964-01-30,US,1964,2,U,NiblickClub,1775,7251
1964-02-12,US,1964,10,U,NiblickSolendon,1777,7247
1964-02-13,US,1964,1.5,U,NiblickBunker,1777,7251
1964-02-18,US,1964,5,U,NiblickBonefish,1777,7247
1964-02-18,US,1964,10,U,NiblickMackerel,1776,7249
1964-02-20,US,1964,70,U,NiblickKlickitat,1776,7252
1964-03-12,US,1964,0.2,U,NiblickHandicap,1776,7251
1964-03-13,US,1964,2,U,NiblickPike,1777,7246
1964-04-14,US,1964,3,U,NiblickHook,1777,7251
1964-04-15,US,1964,2,U,NiblickSturgeon,1777,7246
1964-04-17,US,1964,10,U,NiblickBogey,1776,7251
1964-04-24,US,1964,38,U,NiblickTurf,1776,7252
1964-04-29,US,1964,15,U,NiblickPipefish,1777,7246
1964-05-07,US,1964,10,U,NiblickDriver,1776,7251
1964-05-14,US,1964,8,U,NiblickBackswing,1776,7250
1964-05-15,US,1964,6,U,NiblickMinnow,1777,7246
1964-06-11,US,1964,3,U,NiblickAce,1775,7252
1964-06-12,US,1964,0.5,U,NiblickBitterling,1777,7246
1964-06-18,US,1964,0.15,U,NiblickDuffer,1776,7253
1964-06-25,US,1964,6,U,NiblickFade,1777,7250
1964-06-30,US,1964,11.7,U,NiblickDub,1776,7254
1964-07-16,US,1964,20,U,WhetstoneBye,1776,7254
1964-07-23,US,1964,10,U,WhetstoneLinks,1777,7250
1964-07-24,US,1964,10,U,WhetstoneTrogon,1777,7246
1964-08-19,US,1964,4.4,U,WhetstoneAlva,1775,7253
1964-08-22,US,1964,18,U,WhetstoneCanvasback,1777,7247
1964-08-27,US,1964,10,U,WhetstonePlayer,1776,7250
