Database,Quarter,Index
MongoDB,2012-09,19895
MongoDB,2012-12,27968
MongoDB,2013-03,37604
MongoDB,2013-06,48020
MongoDB,2013-09,60000
Cassandra,2012-09,6614
Cassandra,2012-12,8437
Cassandra,2013-03,11562
Cassandra,2013-06,14427
Cassandra,2013-09,17552
Redis,2012-09,6354
Redis,2012-12,8697
Redis,2013-03,11302
Redis,2013-06,14166
Redis,2013-09,16770
HBase,2012-09,4010
HBase,2012-12,5312
HBase,2013-03,6614
HBase,2013-06,8177
HBase,2013-09,9479
CouchDB,2012-09,3489
CouchDB,2012-12,4010
CouchDB,2013-03,4531
CouchDB,2013-06,5312
CouchDB,2013-09,5833
Neo4j,2012-09,885
Neo4j,2012-12,1406
Neo4j,2013-03,1666
Neo4j,2013-06,2187
Neo4j,2013-09,2708
Riak,2012-09,885
Riak,2012-12,1145
Riak,2013-03,1145
Riak,2013-06,1406
Riak,2013-09,1666
MarkLogic,2012-09,885
MarkLogic,2012-12,1406
MarkLogic,2013-03,1406
MarkLogic,2013-06,1406
MarkLogic,2013-09,1406
Couchbase,2012-09,364
Couchbase,2012-12,624
Couchbase,2013-03,885
Couchbase,2013-06,1145
Couchbase,2013-09,1666
DynamoDB,2012-09,104
DynamoDB,2012-12,364
DynamoDB,2013-03,364
DynamoDB,2013-06,364
DynamoDB,2013-09,885