"congress","last","first","state","party","score"
"105th","Helms","Jesse","NC","R",-1.17341
"105th","Allard","Wayne","CO","R",-1.19474
"105th","Abraham","Spencer","MI","R",0.001995
"105th","Akaka","Daniel","HI","D",-0.15487
"105th","Allard","Wayne","CO","R",-1.19474
"105th","Ashcroft","John","MO","R",-1.04759
"105th","Baucus","Max","MT","D",1.508111
"105th","Bennett","Bob","UT","R",-1.00399
"105th","Biden","Joe","DE","D",-0.18831
"105th","Bingaman","Jeff","NM","D",0.62793
"105th","Bond","Kit","MO","R",-0.20063
"105th","Boxer","Barbara","CA","D",-0.71061
"105th","Breaux","John","LA","D",0.960211
"105th","Brownback","Sam","KS","R",-0.74768
"105th","Bryan","Richard","NV","D",0.268497
"105th","Bumpers","Dale","AR","D",-0.4263
"105th","Burns","Conrad","MT","R",-0.04357
"105th","Byrd","Robert","WV","D",0.329045
"105th","Campbell","Ben","CO","R",-0.28681
"105th","Chafee","John","RI","R",1.178853
"105th","Cleland","Max","GA","D",0.51224
"105th","Coats","Dan","IN","R",-0.18014
"105th","Cochran","Thad","MS","R",-0.30584
"105th","Collins","Susan","ME","R",0.43791
"105th","Conrad","Kent","ND","D",0.001778
"105th","Coverdell","Paul","GA","R",-0.63379
"105th","Craig","Larry","ID","R",-0.34232
"105th","D'Amato","Alfonse","NY","R",1.03031
"105th","DeWine","Mike","OH","R",0.29847
"105th","Dodd","Chris","CT","D",0.221656
"105th","Domenici","Pete","NM","R",0.036322
"105th","Dorgan","Byron","ND","D",0.172073
"105th","Durbin","Dick","IL","D",0.440885
"105th","Enzi","Mike","WY","R",-0.74073
"105th","Faircloth","Lauch","NC","R",-0.90428
"105th","Feingold","Russ","WI","D",-0.43076
"105th","Feinstein","Dianne","CA","D",-0.04557
"105th","Ford","Wendell","KY","D",0.642862
"105th","Frist","Bill","TN","R",0.191967
"105th","Glenn","John","OH","D",-0.0876
"105th","Gorton","Slade","WA","R",-0.29656
"105th","Graham","Bob","FL","D",1.382607
"105th","Gramm","Phil","TX","R",-0.61147
"105th","Grams","Rod","MI","R",-0.36721
"105th","Grassley","Chuck","IA","R",1.318237
"105th","Gregg","Judd","NH","R",-0.15281
"105th","Hagel","Chuck","NE","R",-0.15959
"105th","Harkin","Tom","IA","D",-0.36662
"105th","Hatch","Orrin","UT","R",0.098485
"105th","Helms","Jesse","NC","R",-1.17341
"105th","Hollings","Ernest","SC","D",0.342684
"105th","Hutchinson","Tim","AR","R",-1.10734
"105th","Hutchison","Kay","TX","R",-0.77108
"105th","Inhofe","Jim","OK","R",-0.15072
"105th","Inouye","Daniel","HI","D",-0.34323
"105th","Jeffords","Jim","VT","R",1.489298
"105th","Johnson","Tim","SD","D",-0.15497
"105th","Kempthorne","Dirk","ID","R",-1.0758
"105th","Kennedy","Ted","MA","D",-0.46336
"105th","Kerrey","Bob","NE","D",0.592259
"105th","Kerry","John","MA","D",-0.34192
"105th","Kohl","Herb","WI","D",0.655888
"105th","Kyl","Jon","AZ","R",-0.95011
"105th","Landrieu","Mary","LA","D",0.368083
"105th","Lautenberg","Frank","NJ","D",-0.78542
"105th","Leahy","Patrick","VT","D",0.746717
"105th","Levin","Carl","MI","D",0.184106
"105th","Lieberman","Joe","CT","D",1.001284
"105th","Lugar","Richard","IN","R",0.172058
"105th","Mack","Connie","FL","R",0.625869
"105th","McCain","John","AZ","R",0.009855
"105th","McConnell","Mitch","KY","R",-0.25794
"105th","Mikulski","Barbara","MD","D",-0.16014
"105th","Moseley Braun","Carol","IL","D",0.039973
"105th","Moynihan","Pat","NY","D",0.757475
"105th","Murkowski","Frank","AK","R",-0.78893
"105th","Murray","Patty","WA","D",0.251851
"105th","Nickles","Don","OK","R",-0.49086
"105th","Reed","Jack","RI","D",-0.02116
"105th","Reid","Harry","NV","D",-0.4331
"105th","Robb","Chuck","VA","D",0.296621
"105th","Roberts","Pat","KS","R",-0.44254
"105th","Rockefeller","Jay","WV","D",1.31745
"105th","Roth","Bill","DE","R",-0.02861
"105th","Santorum","Rick","PA","R",-0.97536
"105th","Sarbanes","Paul","MD","D",0.201402
"105th","Sessions","Jeff","AL","R",-0.5697
"105th","Shelby","Richard","AL","R",-0.81804
"105th","Smith","Gordon","NH","R",0.116317
"105th","Smith","Bob","NH","R",-1.05469
"105th","Snowe","Olympia","ME","R",0.89564
"105th","Specter","Arlen","PA","R",0.085295
"105th","Stevens","Ted","AK","R",-0.56777
"105th","Thomas","Craig","WY","R",-0.53896
"105th","Thompson","Fred","TN","R",-0.70895
"105th","Thurmond","Strom","SC","R",-0.71431
"105th","Torricelli","Robert","NJ","D",-0.12598
"105th","Warner","John","VA","R",0.009644
"105th","Wellstone","Paul","MN","D",-0.78141
"105th","Wyden","Ron","OR","D",0.839009
"104th","Nunn","Sam","GA","D",1.626965
"104th","Heflin","Howell","AL","D",1.169758
"104th","Hatfield","Mark","OR","R",0.985525
"104th","Lieberman","Joe","CT","D",0.928733
"104th","Jeffords","Jim","VT","R",0.866506
"104th","Bingaman","Jeff","NM","D",0.815684
"104th","Chafee","John","RI","R",0.770633
"104th","Kerrey","Bob","NE","D",0.702346
"104th","Ford","Wendell","KY","D",0.689258
"104th","Feinstein","Dianne","CA","D",0.687457
"104th","Baucus","Max","MT","D",0.68726
"104th","Levin","Carl","MI","D",0.664833
"104th","Glenn","John","OH","D",0.655332
"104th","Pryor","David","AR","D",0.613642
"104th","D'Amato","Alfonse","NY","R",0.612412
"104th","Leahy","Patrick","VT","D",0.590512
"104th","Breaux","John","LA","D",0.568236
"104th","Reid","Harry","NV","D",0.561026
"104th","Grassley","Chuck","IA","R",0.540858
"104th","Campbell","Ben","CO","R",0.525175
"104th","Johnston","Bennett","LA","D",0.506696
"104th","Moynihan","Pat","NY","D",0.486979
"104th","Biden","Joe","DE","D",0.469646
"104th","Robb","Chuck","VA","D",0.417084
"104th","Graham","Bob","FL","D",0.385796
"104th","Domenici","Pete","NM","R",0.378467
"104th","Moseley Braun","Carol","IL","D",0.314083
"104th","Pressler","Larry","SD","R",0.294091
"104th","Lugar","Richard","IN","R",0.277143
"104th","Warner","John","VA","R",0.221422
"104th","Sarbanes","Paul","MD","D",0.215214
"104th","Bryan","Richard","NV","D",0.194764
"104th","Kassebaum","Nancy","KS","R",0.147008
"104th","Specter","Arlen","PA","R",0.138808
"104th","Kohl","Herb","WI","D",0.123777
"104th","Cohen","Bill","ME","R",0.122252
"104th","Conrad","Kent","ND","D",0.066816
"104th","Snowe","Olympia","ME","R",0.043675
"104th","Inouye","Daniel","HI","D",0.041458
"104th","Simon","Paul","IL","D",0.0288
"104th","Hollings","Ernest","SC","D",0.024871
"104th","Hatch","Orrin","UT","R",0.019319
"104th","McCain","John","AZ","R",-0.0316
"104th","Rockefeller","Jay","WV","D",-0.0479
"104th","Roth","Bill","DE","R",-0.06025
"104th","Gorton","Slade","WA","R",-0.14909
"104th","Dorgan","Byron","ND","D",-0.15665
"104th","Wyden","Ron","OR","D",-0.16293
"104th","Boxer","Barbara","CA","D",-0.18094
"104th","Bradley","Bill","NJ","D",-0.25213
"104th","Cochran","Thad","MS","R",-0.26127
"104th","Murray","Patty","WA","D",-0.2707
"104th","Mack","Connie","FL","R",-0.30286
"104th","Pell","Claiborne","RI","D",-0.32557
"104th","Lott","Trent","MS","R",-0.34048
"104th","Akaka","Daniel","HI","D",-0.35751
"104th","Stevens","Ted","AK","R",-0.4043
"104th","Harkin","Tom","IA","D",-0.41797
"104th","Feingold","Russ","WI","D",-0.42817
"104th","Shelby","Richard","AL","R",-0.44257
"104th","Inhofe","Jim","OK","R",-0.46491
"104th","DeWine","Mike","OH","R",-0.47161
"104th","Burns","Conrad","MT","R",-0.47365
"104th","Hutchison","Kay","TX","R",-0.47682
"104th","Frist","Bill","TN","R",-0.47902
"104th","Bumpers","Dale","AR","D",-0.51715
"104th","Mikulski","Barbara","MD","D",-0.52523
"104th","Craig","Larry","ID","R",-0.5646
"104th","McConnell","Mitch","KY","R",-0.57249
"104th","Bond","Kit","MO","R",-0.58911
"104th","Dodd","Chris","CT","D",-0.61943
"104th","Kennedy","Ted","MA","D",-0.61944
"104th","Simpson","Alan","WY","R",-0.63461
"104th","Murkowski","Frank","AK","R",-0.64743
"104th","Smith","Bob","NH","R",-0.65457
"104th","Exon","Jim","NE","D",-0.67148
"104th","Kerry","John","MA","D",-0.67382
"104th","Abraham","Spencer","MI","R",-0.7071
"104th","Brown","Hank","CO","R",-0.76115
"104th","Bennett","Bob","UT","R",-0.789
"104th","Faircloth","Lauch","NC","R",-0.83032
"104th","Grams","Rod","MN","R",-0.85144
"104th","Kempthorne","Dirk","ID","R",-0.85697
"104th","Wellstone","Paul","MN","D",-0.86298
"104th","Gregg","Judd","NH","R",-0.88842
"104th","Thurmond","Strom","SC","R",-0.8903
"104th","Lautenberg","Frank","NJ","D",-0.93755
"104th","Thompson","Fred","TN","R",-1.04469
"104th","Kyl","Jon","AZ","R",-1.05329
"104th","Helms","Jesse","NC","R",-1.06315
"104th","Nickles","Don","OK","R",-1.07221
"104th","Santorum","Rick","PA","R",-1.08102
"104th","Gramm","Phil","TX","R",-1.08112
"104th","Thomas","Craig","WY","R",-1.15293
"104th","Coats","Dan","IN","R",-1.35343
"104th","Byrd","Robert","WV","D",-1.39652
"104th","Ashcroft","John","MO","R",-1.63371
"104th","Coverdell","Paul","GA","R",-1.86891
"104th","Abraham","Spencer","MI","R",-0.7071
"104th","Akaka","Daniel","HI","D",-0.35751
"104th","Ashcroft","John","MO","R",-1.63371
"104th","Baucus","Max","MT","D",0.68726
"104th","Bennett","Bob","UT","R",-0.789
"104th","Biden","Joe","DE","D",0.469646
"104th","Bingaman","Jeff","NM","D",0.815684
"104th","Bond","Kit","MO","R",-0.58911
"104th","Boxer","Barbara","CA","D",-0.18094
"104th","Bradley","Bill","NJ","D",-0.25213
"104th","Breaux","John","LA","D",0.568236
"104th","Brown","Hank","CO","R",-0.76115
"104th","Bryan","Richard","NV","D",0.194764
"104th","Bumpers","Dale","AR","D",-0.51715
"104th","Burns","Conrad","MT","R",-0.47365
"104th","Byrd","Robert","WV","D",-1.39652
"104th","Campbell","Ben","CO","R",0.525175
"104th","Chafee","John","RI","R",0.770633
"104th","Coats","Dan","IN","R",-1.35343
"104th","Cochran","Thad","MS","R",-0.26127
"104th","Cohen","Bill","ME","R",0.122252
"104th","Conrad","Kent","ND","D",0.066816
"104th","Coverdell","Paul","GA","R",-1.86891
"104th","Craig","Larry","ID","R",-0.5646
"104th","D'Amato","Alfonse","NY","R",0.612412
"104th","DeWine","Mike","OH","R",-0.47161
"104th","Dodd","Chris","CT","D",-0.61943
"104th","Domenici","Pete","NM","R",0.378467
"104th","Dorgan","Byron","ND","D",-0.15665
"104th","Exon","Jim","NE","D",-0.67148
"104th","Faircloth","Lauch","NC","R",-0.83032
"104th","Feingold","Russ","WI","D",-0.42817
"104th","Feinstein","Dianne","CA","D",0.687457
"104th","Ford","Wendell","KY","D",0.689258
"104th","Frist","Bill","TN","R",-0.47902
"104th","Glenn","John","OH","D",0.655332
"104th","Gorton","Slade","WA","R",-0.14909
"104th","Graham","Bob","FL","D",0.385796
"104th","Gramm","Phil","TX","R",-1.08112
"104th","Grams","Rod","MN","R",-0.85144
"104th","Grassley","Chuck","IA","R",0.540858
"104th","Gregg","Judd","NH","R",-0.88842
"104th","Harkin","Tom","IA","D",-0.41797
"104th","Hatch","Orrin","UT","R",0.019319
"104th","Hatfield","Mark","OR","R",0.985525
"104th","Heflin","Howell","AL","D",1.169758
"104th","Helms","Jesse","NC","R",-1.06315
"104th","Hollings","Ernest","SC","D",0.024871
"104th","Hutchison","Kay","TX","R",-0.47682
"104th","Inhofe","Jim","OK","R",-0.46491
"104th","Inouye","Daniel","HI","D",0.041458
"104th","Jeffords","Jim","VT","R",0.866506
"104th","Johnston","Bennett","LA","D",0.506696
"104th","Kassebaum","Nancy","KS","R",0.147008
"104th","Kempthorne","Dirk","ID","R",-0.85697
"104th","Kennedy","Ted","MA","D",-0.61944
"104th","Kerrey","Bob","NE","D",0.702346
"104th","Kerry","John","MA","D",-0.67382
"104th","Kohl","Herb","WI","D",0.123777
"104th","Kyl","Jon","AZ","R",-1.05329
"104th","Lautenberg","Frank","NJ","D",-0.93755
"104th","Leahy","Patrick","VT","D",0.590512
"104th","Levin","Carl","MI","D",0.664833
"104th","Lieberman","Joe","CT","D",0.928733
"104th","Lott","Trent","MS","R",-0.34048
"104th","Lugar","Richard","IN","R",0.277143
"104th","Mack","Connie","FL","R",-0.30286
"104th","McCain","John","AZ","R",-0.0316
"104th","McConnell","Mitch","KY","R",-0.57249
"104th","Mikulski","Barbara","MD","D",-0.52523
"104th","Moseley Braun","Carol","IL","D",0.314083
"104th","Moynihan","Pat","NY","D",0.486979
"104th","Murkowski","Frank","AK","R",-0.64743
"104th","Murray","Patty","WA","D",-0.2707
"104th","Nickles","Don","OK","R",-1.07221
"104th","Nunn","Sam","GA","D",1.626965
"104th","Pell","Claiborne","RI","D",-0.32557
"104th","Pressler","Larry","SD","R",0.294091
"104th","Pryor","David","AR","D",0.613642
"104th","Reid","Harry","NV","D",0.561026
"104th","Robb","Chuck","VA","D",0.417084
"104th","Rockefeller","Jay","WV","D",-0.0479
"104th","Roth","Bill","DE","R",-0.06025
"104th","Santorum","Rick","PA","R",-1.08102
"104th","Sarbanes","Paul","MD","D",0.215214
"104th","Shelby","Richard","AL","R",-0.44257
"104th","Simon","Paul","IL","D",0.0288
"104th","Simpson","Alan","WY","R",-0.63461
"104th","Smith","Bob","NH","R",-0.65457
"104th","Snowe","Olympia","ME","R",0.043675
"104th","Specter","Arlen","PA","R",0.138808
"104th","Stevens","Ted","AK","R",-0.4043
"104th","Thomas","Craig","WY","R",-1.15293
"104th","Thompson","Fred","TN","R",-1.04469
"104th","Thurmond","Strom","SC","R",-0.8903
"104th","Warner","John","VA","R",0.221422
"104th","Wellstone","Paul","MN","D",-0.86298
"104th","Wyden","Ron","OR","D",-0.16293
"103th","Shelby","Richard","AL","D",1.878779
"103th","Boren","David","OK","D",1.308541
"103th","Nunn","Sam","GA","D",1.276903
"103th","Hatfield","Mark","OR","R",1.246969
"103th","Durenberger","David","MN","R",1.011092
"103th","Jeffords","Jim","VT","R",0.961582
"103th","Domenici","Pete","NH","R",0.947105
"103th","Chafee","John","RI","R",0.911664
"103th","Reid","Harry","NV","D",0.872084
"103th","Warner","John","VA","R",0.704715
"103th","Heflin","Howell","AL","D",0.665132
"103th","Baucus","Max","MT","D",0.661835
"103th","Campbell","Ben","CO","D",0.64478
"103th","Packwood","Bob","OR","R",0.64076
"103th","Bumpers","Dale","AR","D",0.598726
"103th","Hatch","Orrin","UT","R",0.541492
"103th","Cohen","Bill","ME","R",0.530699
"103th","Bingaman","Jeff","NM","D",0.485789
"103th","Bryan","Richard","NV","D",0.474254
"103th","Daschle","Tom","SD","D",0.443042
"103th","Bond","Kit","MO","R",0.43401
"103th","D'Amato","Alfonse","NY","R",0.431271
"103th","Hollings","Ernest","SC","D",0.412672
"103th","Breaux","John","LA","D",0.373105
"103th","Exon","Jim","NE","D",0.367755
"103th","Pryor","David","AR","D",0.361041
"103th","Robb","Chuck","VA","D",0.346391
"103th","Kassebaum","Nancy","KS","R",0.341759
"103th","Kennedy","Ted","MA","D",0.339423
"103th","Grassley","Chuck","IA","R",0.329262
"103th","Danforth","John","MO","R",0.264452
"103th","DeConcini","Dennis","AZ","D",0.257378
"103th","Levin","Carl","MI","D",0.256241
"103th","Lieberman","Joe","CT","D",0.220746
"103th","Gorton","Slade","WA","R",0.218346
"103th","McCain","John","AZ","R",0.209943
"103th","Harkin","Tom","IA","D",0.11507
"103th","Biden","Joe","DE","D",0.110247
"103th","Leahy","Patrick","VT","D",0.095795
"103th","Inouye","Daniel","HI","D",0.061667
"103th","Conrad","Kent","ND","D",0.057755
"103th","Dodd","Chris","CT","D",0.038747
"103th","Kerrey","Bob","NE","D",-0.00874
"103th","Feinstein","Dianne","CA","D",-0.03087
"103th","Hutchison","Kay","TX","R",-0.03513
"103th","Lugar","Richard","IN","R",-0.04427
"103th","Cochran","Thad","MS","R",-0.04506
"103th","Burns","Conrad","MT","R",-0.04753
"103th","Glenn","John","OH","D",-0.06781
"103th","Dorgan","Byron","ND","D",-0.08275
"103th","Specter","Arlen","PA","R",-0.10886
"103th","Moynihan","Pat","NY","D",-0.11748
"103th","Moseley Braun","Carol","IL","D",-0.15639
"103th","Ford","Wendell","KY","D",-0.1658
"103th","Kohl","Herb","WI","D",-0.17779
"103th","Simon","Paul","IL","D",-0.19226
"103th","Rockefeller","Jay","WV","D",-0.20058
"103th","Roth","Bill","DE","R",-0.20644
"103th","Metzenbaum","Howard","OH","D",-0.21874
"103th","Faircloth","Lauch","NC","R",-0.26293
"103th","Craig","Larry","ID","R",-0.28854
"103th","Bennett","Bob","UT","R",-0.28919
"103th","Kempthorne","Dirk","ID","R",-0.29121
"103th","Riegle","Donald","MI","D",-0.36653
"103th","Graham","Bob","FL","D",-0.36783
"103th","Johnston","Bennett","LA","D",-0.37656
"103th","Pressler","Larry","SD","R",-0.38798
"103th","Murray","Patty","WA","D",-0.39197
"103th","Simpson","Alan","WY","R",-0.4273
"103th","Stevens","Ted","AK","R",-0.43319
"103th","Bradley","Bill","NJ","D",-0.45606
"103th","Murkowski","Frank","AK","R",-0.45645
"103th","Sasser","Jim","TN","D",-0.49818
"103th","Mack","Connie","FL","R",-0.5163
"103th","Thurmond","Strom","SC","R",-0.52181
"103th","Lott","Trent","MS","R",-0.5238
"103th","McConnell","Mitch","KY","R",-0.53723
"103th","Akaka","Daniel","HI","D",-0.55234
"103th","Sarbanes","Paul","MD","D",-0.5894
"103th","Brown","Hank","CO","R",-0.6193
"103th","Wellstone","Paul","MN","D",-0.62667
"103th","Pell","Claiborne","RI","D",-0.67456
"103th","Smith","Bob","NH","R",-0.68703
"103th","Mikulski","Barbara","MD","D",-0.72398
"103th","Coats","Dan","IN","R",-0.73752
"103th","Lautenberg","Frank","NJ","D",-0.80289
"103th","Kerry","John","MA","D",-0.80564
"103th","Mathews","Harlan","TN","D",-0.82511
"103th","Wofford","Harris","PA","D",-0.83298
"103th","Nickles","Don","OK","R",-0.86991
"103th","Wallop","Malcolm","WY","R",-1.01114
"103th","Feingold","Russ","WI","D",-1.0461
"103th","Boxer","Barbara","CA","D",-1.08552
"103th","Gregg","Judd","NH","R",-1.2084
"103th","Helms","Jesse","NC","R",-1.3333
"103th","Gramm","Phil","TX","R",-1.36967
"103th","Byrd","Robert","WV","D",-1.39783
"103th","Coverdell","Paul","GA","R",-1.54537
"103th","Akaka","Daniel","HI","D",-0.55234
"103th","Baucus","Max","MT","D",0.661835
"103th","Bennett","Bob","UT","R",-0.28919
"103th","Biden","Joe","DE","D",0.110247
"103th","Bingaman","Jeff","NM","D",0.485789
"103th","Bond","Kit","MO","R",0.43401
"103th","Boren","David","OK","D",1.308541
"103th","Boxer","Barbara","CA","D",-1.08552
"103th","Bradley","Bill","NJ","D",-0.45606
"103th","Breaux","John","LA","D",0.373105
"103th","Brown","Hank","CO","R",-0.6193
"103th","Bryan","Richard","NV","D",0.474254
"103th","Bumpers","Dale","AR","D",0.598726
"103th","Burns","Conrad","MT","R",-0.04753
"103th","Byrd","Robert","WV","D",-1.39783
"103th","Campbell","Ben","CO","D",0.64478
"103th","Chafee","John","RI","R",0.911664
"103th","Coats","Dan","IN","R",-0.73752
"103th","Cochran","Thad","MS","R",-0.04506
"103th","Cohen","Bill","ME","R",0.530699
"103th","Conrad","Kent","ND","D",0.057755
"103th","Coverdell","Paul","GA","R",-1.54537
"103th","Craig","Larry","ID","R",-0.28854
"103th","D'Amato","Alfonse","NY","R",0.431271
"103th","Danforth","John","MO","R",0.264452
"103th","Daschle","Tom","SD","D",0.443042
"103th","DeConcini","Dennis","AZ","D",0.257378
"103th","Dodd","Chris","CT","D",0.038747
"103th","Domenici","Pete","NH","R",0.947105
"103th","Dorgan","Byron","ND","D",-0.08275
"103th","Durenberger","David","MN","R",1.011092
"103th","Exon","Jim","NE","D",0.367755
"103th","Faircloth","Lauch","NC","R",-0.26293
"103th","Feingold","Russ","WI","D",-1.0461
"103th","Feinstein","Dianne","CA","D",-0.03087
"103th","Ford","Wendell","KY","D",-0.1658
"103th","Glenn","John","OH","D",-0.06781
"103th","Gorton","Slade","WA","R",0.218346
"103th","Graham","Bob","FL","D",-0.36783
"103th","Gramm","Phil","TX","R",-1.36967
"103th","Grassley","Chuck","IA","R",0.329262
"103th","Gregg","Judd","NH","R",-1.2084
"103th","Harkin","Tom","IA","D",0.11507
"103th","Hatch","Orrin","UT","R",0.541492
"103th","Hatfield","Mark","OR","R",1.246969
"103th","Heflin","Howell","AL","D",0.665132
"103th","Helms","Jesse","NC","R",-1.3333
"103th","Hollings","Ernest","SC","D",0.412672
"103th","Hutchison","Kay","TX","R",-0.03513
"103th","Inouye","Daniel","HI","D",0.061667
"103th","Jeffords","Jim","VT","R",0.961582
"103th","Johnston","Bennett","LA","D",-0.37656
"103th","Kassebaum","Nancy","KS","R",0.341759
"103th","Kempthorne","Dirk","ID","R",-0.29121
"103th","Kennedy","Ted","MA","D",0.339423
"103th","Kerrey","Bob","NE","D",-0.00874
"103th","Kerry","John","MA","D",-0.80564
"103th","Kohl","Herb","WI","D",-0.17779
"103th","Lautenberg","Frank","NJ","D",-0.80289
"103th","Leahy","Patrick","VT","D",0.095795
"103th","Levin","Carl","MI","D",0.256241
"103th","Lieberman","Joe","CT","D",0.220746
"103th","Lott","Trent","MS","R",-0.5238
"103th","Lugar","Richard","IN","R",-0.04427
"103th","Mack","Connie","FL","R",-0.5163
"103th","Mathews","Harlan","TN","D",-0.82511
"103th","McCain","John","AZ","R",0.209943
"103th","McConnell","Mitch","KY","R",-0.53723
"103th","Metzenbaum","Howard","OH","D",-0.21874
"103th","Mikulski","Barbara","MD","D",-0.72398
"103th","Moseley Braun","Carol","IL","D",-0.15639
"103th","Moynihan","Pat","NY","D",-0.11748
"103th","Murkowski","Frank","AK","R",-0.45645
"103th","Murray","Patty","WA","D",-0.39197
"103th","Nickles","Don","OK","R",-0.86991
"103th","Nunn","Sam","GA","D",1.276903
"103th","Packwood","Bob","OR","R",0.64076
"103th","Pell","Claiborne","RI","D",-0.67456
"103th","Pressler","Larry","SD","R",-0.38798
"103th","Pryor","David","AR","D",0.361041
"103th","Reid","Harry","NV","D",0.872084
"103th","Riegle","Donald","MI","D",-0.36653
"103th","Robb","Chuck","VA","D",0.346391
"103th","Rockefeller","Jay","WV","D",-0.20058
"103th","Roth","Bill","DE","R",-0.20644
"103th","Sarbanes","Paul","MD","D",-0.5894
"103th","Sasser","Jim","TN","D",-0.49818
"103th","Shelby","Richard","AL","D",1.878779
"103th","Simon","Paul","IL","D",-0.19226
"103th","Simpson","Alan","WY","R",-0.4273
"103th","Smith","Bob","NH","R",-0.68703
"103th","Specter","Arlen","PA","R",-0.10886
"103th","Stevens","Ted","AK","R",-0.43319
"103th","Thurmond","Strom","SC","R",-0.52181
"103th","Wallop","Malcolm","WY","R",-1.01114
"103th","Warner","John","VA","R",0.704715
"103th","Wellstone","Paul","MN","D",-0.62667
"103th","Wofford","Harris","PA","D",-0.83298
