"";"rodzaj";"kod.pocztowy";"miasto";"ulica";"Lat";"Long"
"856";"POZ";"10-271";"OLSZTYN";"BA£TYCKA 151";53,80429;20,40093
"885";"PSY";"10-801";"OLSZTYN";"SIELSKA 34";53,76883;20,4206
"896";"RTM";"10-802";"OLSZTYN";"SIELSKA 34";53,7686;20,42179
"907";"STM";"10-192";"OLSZTYN";"WIOŒLARSKA 4";53,79831;20,42833
"908";"REH";"10-831";"OLSZTYN";"SIEWNA 78";53,76323;20,42846
"912";"AOS";"10-806";"OLSZTYN";"ZBO¯OWA 27E";53,76691;20,42946
"913";"POZ";"10-806";"OLSZTYN";"ZBO¯OWA 27E";53,76691;20,42946
"914";"STM";"10-807";"OLSZTYN";"ZBO¯OWA 27 E";53,76788;20,42994
"917";"REH";"10-803";"OLSZTYN";"SIELSKA 12/K";53,76858;20,43042
"918";"STM";"10-183";"OLSZTYN";"WCZASOWA 57";53,79652;20,43168
"927";"POZ";"10-822";"OLSZTYN";"¯YTNIA  71/1";53,76915;20,43471
"929";"ZPO";"11-041";"OLSZTYN";"NARCYZOWA 1A";53,80006;20,44032
"932";"AOS";"10-177";"OLSZTYN";"BRZOZOWA 14";53,78915;20,44182
"933";"SZP";"10-177";"OLSZTYN";"BRZOZOWA 14";53,78915;20,44182
"934";"POZ";"10-176";"OLSZTYN";"BA£TYCKA 43";53,78998;20,44191
"935";"POZ";"10-161";"OLSZTYN";"GRABOWA 34/1";53,78356;20,44567
"936";"POZ";"10-144";"OLSZTYN";"BA£TYCKA 37";53,78501;20,45086
"937";"STM";"10-722";"OLSZTYN";"KANAFOJSKIEGO 3/12";53,75479;20,45528
"938";"AOS";"10-722";"OLSZTYN";"KANAFOJSKIEGO 3";53,75522;20,45595
"939";"AOS";"10-772";"OLSZTYN";"CZES£AWA KANAFOJSKIEGO 3/9";53,75522;20,45595
"940";"POZ";"10-772";"OLSZTYN";"KANAFOJSKIEGO 3";53,75522;20,45595
"941";"POZ";"10-148";"OLSZTYN";"ALEJA PRZYJACIÓ£ 42";53,78604;20,45657
"942";"POZ";"10-150";"OLSZTYN";"RYBAKI 24";53,78718;20,45823
"943";"POZ";"10-136";"OLSZTYN";"BA£TYCKA 4";53,78122;20,45909
"944";"STM";"10-140";"OLSZTYN";"¯Ó£TA 10A/46";53,77796;20,45999
"945";"POZ";"10-900";"OLSZTYN";"JAGIELLOÑCZYKA 32";53,7702;20,46296
"946";"POZ";"10-062";"OLSZTYN";"JAGIELLOÑCZYKA 32";53,77115;20,46411
"947";"STM";"10-072";"OLSZTYN";"SZARYCH SZEREGÓW 5";53,77588;20,46414
"948";"POZ";"10-092";"OLSZTYN";"OBROÑCÓW TOBRUKU 15/1";53,76546;20,46705
"949";"STM";"10-072";"OLSZTYN";"ARMI KRAJOWEJ 3/155";53,76557;20,46728
"950";"PRO";"10-127";"OLSZTYN";"JAGIE££Y 3/1";53,77657;20,4684
"954";"ZPO";"10-089";"OLSZTYN";"GA£CZYÑSKIEGO 1/13";53,76251;20,46881
"955";"POZ";"10-168";"OLSZTYN";"KONOPNICKIEJ 11";53,77763;20,4691
"956";"STM";"10-130";"OLSZTYN";"KROMERA 8";53,7766;20,47006
"957";"POZ";"10-089";"OLSZTYN";"IWASZKIEWICZA 44";53,75921;20,47016
"958";"STM";"10-059";"OLSZTYN";"POLNA 14/1";53,7688;20,47121
"959";"AOS";"10-082";"OLSZTYN";"WARSZAWSKA 30";53,77253;20,47192
"960";"POZ";"10-082";"OLSZTYN";"WARSZAWSKA 30";53,77253;20,47192
"961";"REH";"10-082";"OLSZTYN";"WARSZAWSKA 30";53,77253;20,47192
"962";"SOK";"10-082";"OLSZTYN";"WARSZAWSKA 30";53,77253;20,47192
"963";"SZP";"10-082";"OLSZTYN";"WARSZAWSKA 30";53,77253;20,47192
"964";"POZ";"10-059";"OLSZTYN";"POLNA 21";53,76678;20,472
"965";"ZPO";"10-127";"OLSZTYN";"GRUNWALDZKA 8/9";53,77514;20,47244
"966";"ZPO";"11-001";"DYWITY";"OLSZTYÑSKA 70";53,83807;20,47252
"967";"AOS";"10-123";"OLSZTYN";"GRUNWALDZKA 4/2";53,775;20,47295
"968";"POZ";"10-224";"OLSZTYN";"WOJSKA POLSKIEGO 17";53,75114;20,473
"969";"STM";"10-224";"OLSZTYN";"WOJSKA POLSKIEGO 17";53,75114;20,473
"970";"STM";"10-686";"OLSZTYN";"WILCZYÑSKIEGO 17A/D";53,75114;20,473
"971";"POZ";"10-086";"OLSZTYN";"KORCZAKA 10";53,76834;20,47343
"972";"STM";"10-086";"OLSZTYN";"KORCZAKA 10";53,76834;20,47343
"973";"AOS";"10-010";"OLSZTYN";"OSIÑSKIEGO 9";53,77197;20,47513
"974";"POZ";"10-170";"OLSZTYN";"GIETKOWSKA 12";53,78589;20,47549
"975";"ZPO";"10-026";"OLSZTYN";"STARE MIASTO 17/21";53,77606;20,47562
"976";"ZPO";"11-001";"DYWITY";"SPÓ£DZIELCZA 2A/E2";53,8357;20,47636
"977";"STM";"11-001";"DYWITY";"SPÓ£DZIELCZA 2/1E";53,83599;20,47673
"978";"AOS";"10-007";"OLSZTYN";"SZRAJBERA 9/10";53,77376;20,4768
"979";"POZ";"10-007";"OLSZTYN";"SZRAJBERA 9/10";53,77376;20,4768
"980";"POZ";"10-113";"OLSZTYN";"MA££KÓW 3";53,78052;20,477
"981";"STM";"10-113";"OLSZTYN";"MA££KÓW 3";53,78052;20,477
"982";"AOS";"10-045";"OLSZTYN";"MARIAÑSKA 4";53,77047;20,47715
"983";"AOS";"10-052";"OLSZTYN";"MARIAÑSKA 4";53,77047;20,47715
"984";"POZ";"10-106";"OLSZTYN";"WYZWOLENIA 26/27";53,77914;20,47729
"985";"POZ";"11-001";"DYWITY";"JE¯YNOWA 16";53,83432;20,47762
"986";"REH";"11-001";"DYWITY";"JE¯YNOWA 16";53,83432;20,47762
"987";"STM";"11-001";"DYWITY";"JE¯YNOWA 16";53,83432;20,47762
"988";"POZ";"10-045";"OLSZTYN";"NIEPODLEG£OŒCI 18";53,77222;20,47764
"989";"STM";"11-111";"OLSZTYN";"CURIE-SK£ODOWSKIEJ 27";53,77932;20,47832
"990";"STM";"10-111";"OLSZTYN";"CURIE-SK£ODOWSKIEJ 27";53,77942;20,47853
"991";"AOS";"10-698";"OLSZTYN";"SREBRNA 2/3";53,726;20,47866
"992";"POZ";"10-698";"OLSZTYN";"SREBRNA 2/3";53,726;20,47866
"993";"AOS";"10-116";"OLSZTYN";"RATUSZOWA 4";53,77964;20,47911
"994";"STM";"10-116";"OLSZTYN";"RATUSZOWA 4";53,77964;20,47911
"995";"POZ";"10-693";"OLSZTYN";"HALLERA 4";53,74;20,47947
"996";"STM";"10-693";"OLSZTYN";"GEN JÓZEFA HALLERA 4 B";53,74;20,47947
"997";"SZP";"10-693";"OLSZTYN";"GEN JÓZEFA HALLERA 4 B";53,74;20,47947
"998";"SZP";"10-693";"OLSZTYN";"GEN. JÓZEFA HALLERA 4B";53,74;20,47947
"999";"SZP";"10-693";"OLSZTYN";"HALLERA 4B";53,74;20,47947
"1000";"PRO";"10-045";"OLSZTYN";"NIEPODLEG£OŒCI 44";53,77023;20,47955
"1001";"AOS";"10-045";"OLSZTYN";"NIEPODLEG£OŒCI 44";53,77023;20,47955
"1002";"AOS";"10-047";"OLSZTYN";"NIEPODLEG£OŒCI 44";53,77023;20,47955
"1003";"SZP";"10-045";"OLSZTYN";"NIEPODLEG£OŒCI 44";53,77023;20,47955
"1004";"ZPO";"10-045";"OLSZTYN";"NIEPODLEG£OŒCI 44";53,77023;20,47955
"1005";"AOS";"10-117";"OLSZTYN";"1 MAJA 6/101";53,77911;20,47995
"1006";"ZPO";"10-576";"OLSZTYN";"PI£SUDSKIEGO 2/8";53,77809;20,48049
"1007";"POZ";"10-226";"OLSZTYN";"WOJSKA POLSKIEGO 33/5";53,78431;20,48089
"1008";"POZ";"10-226";"OLSZTYN";"WOJSKA POLSKIEGO 33/4";53,78396;20,48113
"1009";"POZ";"10-048";"OLSZTYN";"GRZEGORZEWSKIEJ 6";53,76557;20,48119
"1010";"POZ";"10-117";"OLSZTYN";"1-GO MAJA 3";53,78049;20,4813
"1011";"POZ";"10-226";"OLSZTYN";"WOJSKA POLSKIEGO 33/6";53,78472;20,48164
"1012";"POZ";"10-224";"OLSZTYN";"WOJSKA POLSKIEGO 19/23";53,78946;20,48174
"1014";"STM";"10-228";"OLSZTYN";"AL.WOJSKA POLSKIEGO 33/11";53,78563;20,48197
"1015";"ZPO";"10-900";"OLSZTYN";"WOJSKA POLSKIEGO 19/24";53,79067;20,48205
"1016";"AOS";"10-290";"OLSZTYN";"ALEJA WOJSKA POLSKIEGO 80/18";53,78373;20,48208
"1017";"AOS";"10-290";"OLSZTYN";"WOJSKA POLSKIEGO 80";53,78373;20,48208
"1018";"AOS";"10-290";"OLSZTYN";"WOJSKA POLSKIEGO 80/18";53,78373;20,48208
"1019";"SZP";"10-290";"OLSZTYN";"WOJSKA POLSKIEGO 80";53,78373;20,48208
"1020";"ZPO";"10-290";"OLSZTYN";"WOJSKA POLSKIEGO 80";53,78373;20,48208
"1021";"AOS";"10-602";"OLSZTYN";"WARMIÑSKA 14/14";53,77929;20,48233
"1022";"ZPO";"10-602";"OLSZTYN";"WARMIÑSKA 14/14";53,77929;20,48233
"1023";"POZ";"10-527";"OLSZTYN";"PARTYZANTÓW 85";53,7814;20,48245
"1024";"STM";"10-046";"OLSZTYN";"NIEPODLEG£OŒCI 87A/11";53,76913;20,48251
"1025";"AOS";"10-295";"OLSZTYN";"AL. WOJSKA POLSKIEGO 39";53,7914;20,4827
"1026";"SZP";"10-295";"OLSZTYN";"AL. WOJSKA POLSKIEGO 39";53,7914;20,4827
"1027";"PSY";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 35";53,7952;20,4828
"1028";"STM";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 35";53,7952;20,4828
"1029";"POZ";"10-226";"OLSZTYN";"ALEJA WOJSKA POLSKIEGO 33";53,79583;20,48286
"1030";"POZ";"10-226";"OLSZTYN";"WOJSKA POLSKIEGO 33";53,79583;20,48286
"1031";"ZPO";"10-576";"OLSZTYN";"PI£SUDSKIEGO 16";53,77711;20,48302
"1032";"AOS";"10-229";"OLSZTYN";"AL. WOJSKA POLSKIEGO 30";53,79833;20,48303
"1033";"OPH";"10-226";"OLSZTYN";"AL WOJSKA POLSKIEGO 30";53,79833;20,48303
"1034";"REH";"10-229";"OLSZTYN";"AL.WOJSKA POLSKIEGO 30.";53,79833;20,48303
"1035";"SPO";"10-226";"OLSZTYN";"AL. WOJSKA POLSKIEGO 30";53,79833;20,48303
"1036";"SZP";"10-229";"OLSZTYN";"AL. WOJSKA POLSKIEGO 30";53,79833;20,48303
"1037";"AOS";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1038";"POZ";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1039";"PRO";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1040";"PSY";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1041";"REH";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1042";"SOK";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1043";"SZP";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1044";"ZPO";"10-228";"OLSZTYN";"ALEJA WOJSKA POLSKIEGO 37";53,79375;20,48311
"1045";"PRO";"10-351";"OLSZTYN";"¯EROMSKIEGO 8A/2";53,78671;20,48343
"1046";"AOS";"10-555";"OLSZTYN";"KOŒCIUSZKI 92/12U";53,77191;20,48385
"1047";"AOS";"10-555";"OLSZTYN";"TADEUSZA KOŒCIUSZKI 92/34";53,77191;20,48385
"1048";"AOS";"10-527";"OLSZTYN";"PARTYZANTÓW 80";53,78174;20,48397
"1049";"STM";"10-527";"OLSZTYN";"PARTYZANTÓW 80";53,78174;20,48397
"1050";"OPH";"10-555";"OLSZTYN";"KOŒCIUSZKI 86";53,7729;20,48443
"1051";"SPO";"10-555";"OLSZTYN";"KOŒCIUSZKI 86";53,7729;20,48443
"1052";"AOS";"10-544";"OLSZTYN";"WARMIÑSKA 27";53,78156;20,48478
"1053";"POZ";"10-544";"OLSZTYN";"WARMIÑSKA 27";53,78156;20,48478
"1054";"ZPO";"10-552";"OLSZTYN";"KOŒCIUSZKI 84D";53,77347;20,48483
"1055";"POZ";"10-295";"OLSZTYN";"PUSZKINA 11";53,7896;20,48499
"1056";"AOS";"10-561";"OLSZTYN";"OBROÑCÓW TOBRUKU 1/1";53,76418;20,48506
"1057";"ZPO";"10-561";"OLSZTYN";"OBROÑCÓW TOBRUKU 1/1";53,76418;20,48506
"1058";"POZ";"10-271";"OLSZTYN";"JAGIELLOÑSKA 8";53,78579;20,48515
"1059";"STM";"10-266";"OLSZTYN";"OKRZEI 25/2";53,7852;20,48522
"1060";"AOS";"11-236";"OLSZTYN";"SYBIRAKÓW 36";53,79598;20,48522
"1061";"AOS";"10-236";"OLSZTYN";"SYBIRAKÓW 36";53,79532;20,48527
"1062";"RTM";"10-236";"OLSZTYN";"ALEJA SYBIRAKÓW 36";53,79532;20,48527
"1063";"POZ";"10-295";"OLSZTYN";"PUSZKINA 13";53,79036;20,48544
"1064";"PSY";"10-295";"OLSZTYN";"PUSZKINA 13";53,79036;20,48544
"1065";"POZ";"10-551";"OLSZTYN";"ADAMA MICKIEWICZA 6";53,77918;20,48551
"1066";"ZPO";"10-542";"OLSZTYN";"D¥BROWSZCZAKÓW 39";53,77978;20,48564
"1067";"STM";"10-693";"OLSZTYN";"BERLINGA 5/25";53,74442;20,48611
"1068";"ZPO";"10-541";"OLSZTYN";"D¥BROWSZCZAKÓW 34";53,78039;20,48629
"1069";"AOS";"10-561";"OLSZTYN";"¯O£NIERSKA 14B";53,77084;20,48633
"1070";"ZPO";"10-266";"OLSZTYN";"OKRZEI 10";53,78502;20,48641
"1071";"REH";"10-525";"OLSZTYN";"PARTYZANTÓW 74/1";53,78221;20,48655
"1072";"ZPO";"10-539";"OLSZTYN";"D¥BROWSZCZAKÓW 17";53,7815;20,48671
"1073";"POZ";"10-049";"OLSZTYN";"WINCENTEGO PSTROWSKIEGO 5";53,76708;20,48677
"1074";"STM";"10-049";"OLSZTYN";"PSTROWSKIEGO 5";53,76708;20,48677
"1075";"STM";"10-554";"OLSZTYN";"KOŒCIUSZKI 85/12";53,77485;20,4869
"1076";"ZPO";"10-684";"OLSZTYN";"OR£OWICZAICZA 8 A";53,7528;20,48702
"1077";"AOS";"10-686";"OLSZTYN";"JAGIELLOÑSKA 22";53,78733;20,48721
"1078";"ZPO";"10-954";"OLSZTYN";"KOPERNIKA 46A";53,77925;20,48748
"1079";"STM";"10-686";"OLSZTYN";"MELCHIORA WAÑKOWICZA 1";53,75455;20,48757
"1080";"POZ";"10-282";"OLSZTYN";"SYBIRAKÓW 3A";53,79245;20,48761
"1081";"STM";"10-526";"OLSZTYN";"AL. SYBIRAKÓW 3A/P.107";53,79245;20,48761
"1082";"AOS";"10-348";"OLSZTYN";"NIEDZA£KOWSKIEGO 22/24";53,78763;20,48769
"1083";"ZPO";"10-348";"OLSZTYN";"NIEDZA£KOWSKIEGO 22/24";53,78763;20,48769
"1084";"POZ";"10-553";"OLSZTYN";"KOŒCIUSZKI 70";53,77693;20,48786
"1085";"AOS";"10-273";"OLSZTYN";"JAGIELLOÑSKA 26/1A";53,78796;20,48802
"1086";"POZ";"10-448";"OLSZTYN";"G£OWACKIEGO 28";53,77503;20,48812
"1087";"POZ";"10-509";"OLSZTYN";"MICKIEWICZA 10";53,77854;20,48821
"1091";"POZ";"10-252";"OLSZTYN";"SYBIRAKÓW 3";53,79233;20,48848
"1092";"POZ";"10-684";"OLSZTYN";"WANKOWICZA 1A";53,75372;20,48864
"1093";"POZ";"10-547";"OLSZTYN";"KAJKI 6";53,78117;20,48894
"1094";"STM";"10-510";"OLSZTYN";"KOPERNIKA 12/2";53,7804;20,48908
"1095";"AOS";"10-602";"OLSZTYN";"PSTROWSKIEGO 14C/D";53,76439;20,48934
"1096";"AOS";"10-602";"OLSZTYN";"PSTROWSKIEGO 14B/F";53,76305;20,48954
"1097";"ZPO";"10-602";"OLSZTYN";"PSTROWSKIEGO 14B/F";53,76305;20,48954
"1098";"POZ";"10-558";"OLSZTYN";"¯O£NIERSKA 15";53,77216;20,48967
"1099";"STM";"10-601";"OLSZTYN";"PSTROWSKIEGO 14D/1";53,76495;20,48985
"1100";"AOS";"10-561";"OLSZTYN";"¯O£NIERSKA 16A";53,76935;20,48989
"1101";"AOS";"10-561";"OLSZTYN";"¯O£NIERSKA 16A/03A";53,76935;20,48989
"1102";"POZ";"10-561";"OLSZTYN";"¯O£NIERSKA 16A";53,76935;20,48989
"1103";"SZP";"10-561";"OLSZTYN";"¯O£NIERSKA 16A";53,76935;20,48989
"1104";"STM";"10-513";"OLSZTYN";"KOPERNIKA 30/GAB. 8";53,78089;20,49019
"1105";"STM";"10-260";"OLSZTYN";"RATAJA 60";53,79473;20,49036
"1106";"AOS";"10-561";"OLSZTYN";"¯O£NIERSKA 16B";53,7688;20,49037
"1107";"SOK";"10-561";"OLSZTYN";"¯O£NIERSKA 16B";53,7688;20,49037
"1108";"SZP";"10-561";"OLSZTYN";"¯O£NIERSKA 16B";53,7688;20,49037
"1109";"ZPO";"10-561";"OLSZTYN";"¯O£NIERSKA 16";53,7706;20,49039
"1110";"ZPO";"10-561";"OLSZTYN";"¯O£NIERSKA 16/805";53,7706;20,49039
"1111";"STM";"10-515";"OLSZTYN";"PU£ASKIEGO 7/13";53,78046;20,49044
"1112";"ZPO";"10-900";"OLSZTYN";"G£OWACKIEGO 12/3";53,77786;20,49052
"1113";"STM";"10-692";"OLSZTYN";"PIOTROWSKIEGO 16/C";53,73682;20,49069
"1114";"STM";"10-692";"OLSZTYN";"PIOTROWSKIEGO 16G";53,73682;20,49069
"1115";"POZ";"10-692";"OLSZTYN";"FLORIANA PIOTROWSKIEGO 16/I, J";53,73705;20,49074
"1116";"STM";"10-689";"OLSZTYN";"PIOTROWSKIEGO 16H";53,73705;20,49074
